z/z1,Horizontal Distance ( Multiple of D),Run,Avg_udefect
0.067358,2,1,0.978185
0.112264,2,1,0.966643
0.157169,2,1,1
0.202075,2,1,0.944617
0.269433,2,1,0.957611
0.336791,2,1,0.934001
0.449055,2,1,0.905008
0.561318,2,1,0.862258
0.673582,2,1,0.828926
0.785846,2,1,0.77775
0.898109,2,1,0.644231
1.010373,2,1,0.485306
1.122637,2,1,0.359276
1.347164,2,1,-0.00373
1.571692,2,1,-0.27694
1.796219,2,1,-0.31595
2.020746,2,1,-0.33856
2.245274,2,1,-0.33982
2.469801,2,1,-0.33527
2.918856,2,1,-0.30652
3.367911,2,1,-0.2783
3.816965,2,1,-0.28877
4.26602,2,1,-0.28512
4.715075,2,1,-0.23089
5.16413,2,1,-0.23543
5.500921,2,1,-0.2175
0.065409,2,2,0.925838
0.109016,2,2,0.921533
0.152622,2,2,0.971142
0.196228,2,2,0.937267
0.261637,2,2,0.999999
0.327047,2,2,0.913797
0.436062,2,2,0.887964
0.545078,2,2,0.882882
0.654094,2,2,0.884734
0.763109,2,2,0.699321
0.872125,2,2,0.685636
0.98114,2,2,0.521379
1.090156,2,2,0.39777
1.308187,2,2,0.01417
1.526218,2,2,-0.24935
1.744249,2,2,-0.28782
1.962281,2,2,-0.27335
2.180312,2,2,-0.24539
2.398343,2,2,-0.28457
2.834405,2,2,-0.26325
3.270468,2,2,-0.22883
3.70653,2,2,-0.30914
4.142592,2,2,-0.21176
4.578655,2,2,-0.17892
5.014717,2,2,-0.16952
5.341764,2,2,-0.18032
0.028057,2,3,-0.03773
0.046761,2,3,-0.01596
0.065466,2,3,-0.02452
0.08417,2,3,-0.03146
0.112227,2,3,0.004118
0.140284,2,3,-0.0976
0.187045,2,3,-0.01614
0.233807,2,3,0.019965
0.280568,2,3,0.074831
0.327329,2,3,0.107009
0.37409,2,3,0.125006
0.420852,2,3,0.187064
0.467613,2,3,0.226178
0.561136,2,3,0.384872
0.654658,2,3,0.542583
0.748181,2,3,0.853414
0.841704,2,3,0.996052
0.935226,2,3,0.790591
1.028749,2,3,0.368146
1.215794,2,3,0.12551
1.402839,2,3,0.07606
1.589885,2,3,0.060212
1.77693,2,3,0.047891
1.963975,2,3,0.017945
2.15102,2,3,0.007393
2.291304,2,3,0.003565
0.039697,2,4,0.812858
0.066161,2,4,0.839637
0.092626,2,4,0.887005
0.11909,2,4,0.936063
0.158787,2,4,0.943271
0.198484,2,4,0.959601
0.264645,2,4,0.930362
0.330806,2,4,0.999998
0.396967,2,4,0.999154
0.463128,2,4,0.971903
0.52929,2,4,0.928333
0.595451,2,4,0.854472
