Store Type,subdistrict,pincode,Population,Area(km2),Population Density(people per square kilometer),Number of jewellery stores in subdistrict,Postal officeType,divisionname,regionname,circlename,Districtname,statename,Latitude,Longitude,Num_ATMS,Num_RESTAURANTS,Num_HOSPITALS,Num_GROCERY_or_SUPERMARKETS,Num_SCHOOLS,Num_BUS_STATIONS,Num_SHOPPING_MALLS,Num_BUS_STATIONS,Num_NIGHT_CLUBS,Num_CAFE,Num_TRAIN_STATIONS,Num_GYMS,Num_TAXI_STANDS
My kalyan mini store,Mira Road ',401107,57724,13.87,4162,78,S.O,Thane West,Mumbai,Maharashtra,Thane,MAHARASHTRA,19.28564,72.86911,20,20,20,20,20,7,20,7,4,20,0,20,0
Kalyan Jewellers,Borivali West ',400092,161790,29.59,5468,259,S.O,Mumbai North West,Mumbai,Maharashtra,Mumbai,MAHARASHTRA,19.23807,72.85225,20,20,20,20,20,13,20,13,3,20,0,20,0
candere by kalyan jewellers,Malad West Dely ',400064,141512,3.12,45369,329,S.O,Mumbai North West,Mumbai,Maharashtra,Mumbai,MAHARASHTRA,19.18895,72.83554,20,20,20,16,20,2,20,2,13,20,0,20,0
My kalyan mini store,Andheri ',400053,183297,9.48,19328,309,H.O,Mumbai North,Mumbai,Maharashtra,Mumbai,MAHARASHTRA,19.11365,72.86973,20,20,20,19,20,15,20,15,10,20,0,20,0
My kalyan mini store,Nagardas Road ',400069,106887,2.31,46323,247,S.O,Mumbai North,Mumbai,Maharashtra,Mumbai,MAHARASHTRA,19.12607,72.85014,20,20,20,20,20,12,20,12,6,20,1,20,0
My kalyan mini store,Vileparle(West) ',400056,57374,1.36,42257,281,S.O,Mumbai North,Mumbai,Maharashtra,Mumbai,MAHARASHTRA,19.10713,72.83675,20,20,20,8,20,3,20,3,9,20,0,20,1
Kalyan Jewellers,Delisle Road ',400013,91148,2.19,41674,264,S.O,Mumbai West,Mumbai,Maharashtra,Mumbai,MAHARASHTRA,18.99022,72.83157,20,20,20,14,20,4,20,4,11,20,3,20,0
Kalyan Jewellers,Matunga ',400019,90888,2.31,39367,286,S.O,Mumbai North East,Mumbai,Maharashtra,Mumbai,MAHARASHTRA,19.02687,72.85534,20,20,20,10,20,9,20,9,5,20,5,20,0
My kalyan mini store,Shivaji Nagar (Mumbai)',400043,80633,6.51,12386,80,S.O,Mumbai North East,Mumbai,Maharashtra,Mumbai,MAHARASHTRA,19.06413,72.92406,20,20,20,20,20,5,20,5,2,20,0,20,4
Kalyan Jewellers,Rajawadi ',400077,91808,2.64,34803,200,S.O,Mumbai North East,Mumbai,Maharashtra,Mumbai,MAHARASHTRA,19.07935,72.90147,20,20,20,19,20,13,20,13,1,20,2,20,0
My kalyan mini store,Powai Iit ',400076,159476,6.77,23572,36,S.O,Mumbai North East,Mumbai,Maharashtra,Mumbai,MAHARASHTRA,19.1176,72.90597,20,20,19,12,20,20,20,20,9,20,0,20,0
My kalyan mini store,Tagore Nagar ',400083,85591,6.52,13127,90,S.O,Mumbai North East,Mumbai,Maharashtra,Mumbai,MAHARASHTRA,19.11763,72.93277,20,20,20,18,20,15,20,15,1,20,1,20,1
Kalyan Jewellers,Thane ',400601,157990,3.35,47165,172,H.O,Thane Central,Mumbai,Maharashtra,Thane,MAHARASHTRA,19.21833,72.97809,20,20,20,18,20,10,20,10,4,20,0,20,2
My kalyan mini store,Airoli ',400708,244080,14.99,16279,125,B.O,New Mumbai,Mumbai,Maharashtra,Thane,MAHARASHTRA,19.15901,72.99857,20,20,20,13,20,11,20,11,3,20,0,20,0
Kalyan Jewellers,Vashi (Thane)',400703,376693,15.77,23887,80,S.O,New Mumbai,Mumbai,Maharashtra,Thane,MAHARASHTRA,19.07449,72.99778,20,20,20,20,20,4,20,4,7,20,0,20,6
My kalyan mini store,Kharghar ',410210,309873,27.64,11211,76,S.O,New Mumbai,Mumbai,Maharashtra,Raigarh(MH),MAHARASHTRA,19.04732,73.0699,20,20,20,20,20,6,20,6,1,20,2,20,6
My kalyan mini store,Jci Kamothe ',410206,1199539,571.7,2098,45,B.O directly a/w Head Office,New Mumbai,Mumbai,Maharashtra,Raigarh(MH),MAHARASHTRA,19.02251,73.09645,20,20,20,20,20,6,20,6,2,20,0,20,1
