subdistrict,pincode,Num of Competitor stores,Latitude,Longitude,Population 2020,Population Growth Rate (2000-2015),Population Growth Rate (1975-2015),Population Growth Rate (1975-2000),Forecasted Future Population Growth rate(Exponential Decay),Area(km2),Population Density(people per square kilometer),Nearest Airport Distance in km,Nearest Railway Station Distance in km,Google rating,Google reviews,Overall Rating(Ratings*Reviews)
Delisle Road,400013,2,18.99452219,72.8246426,"84,235",-13.6,-18.1,-4.5,-41.1,1.945,43308.48329,8.73,0.3,4.2,984,4132.8
Khar Delivery,400052,0,19.06627093,72.8345042,"1,09,680",9.3,42.7,33.4,2.59,1.907,57514.42056,3.37,0.71,4.1,6699,27465.9
Mumbai G.P.O.,400001,1,18.94411392,72.83383727,"1,66,302",-13.2,-15.3,-2.1,-82.97,6.4,25984.6875,12.33,3.09,4.1,15632,64091.2
Mumbai Central,400008,0,18.96810182,72.82439651,"1,22,928",-13.6,-19,-5.4,-34.25,2.303,53377.33391,11.05,0.75,4,4013,16052
Bhawani Shankar,400028,1,19.02317682,72.84191944,"1,16,432",-13.5,-18.9,-5.4,-33.75,2.195,53044.19134,6.54,0.54,4.2,8584,36052.8
Haji Ali,400034,0,18.97599096,72.8121452,"48,378",-13.4,-17.9,-4.5,-39.9,1.127,42926.35315,10.84,0.45,4.3,3687,15854.1
Vileparle(West),400056,0,19.10556399,72.84056314,"66,885",9.3,42.8,33.5,2.58,1.206,55460.199,2.45,0.28,4.2,8770,36834
Vileparle(West),400056,0,19.11432287,72.84021981,"66,885",9.3,42.8,33.5,2.58,1.206,55460.199,2.45,0.28,4.8,247,1185.6
Sharma Estate,400063,2,19.17202851,72.84983261,"1,34,900",9.3,46.3,37,2.34,2.884,46775.31207,6.19,0.62,4.2,5155,21651
Sharma Estate,400063,2,19.18175665,72.85978897,"1,34,900",9.3,46.3,37,2.34,2.884,46775.31207,6.19,0.62,4.1,2958,12127.8
Sharma Estate,400063,2,19.15970537,72.85635575,"1,34,900",9.3,46.3,37,2.34,2.884,46775.31207,6.19,0.62,4.1,3409,13976.9
Chakala Midc,400093,0,19.12322322,72.8642943,"1,51,799",9.3,60,50.7,1.71,2.87,52891.63763,3.22,1.61,4.2,6738,28299.6
Andheri East,400069,2,19.12415496,72.86427264,"1,24,127",9.3,43.9,34.6,2.5,2.049,60579.30698,2.95,0.33,4.1,7025,28802.5
Marine Lines,400020,1,18.94576082,72.82306148,"44,463",-13.4,-18.1,-4.7,-38.2,0.902,49293.79157,13.67,1.08,4.4,1369,6023.6
Tilak Nagar,400089,0,19.06893833,72.90011747,"71,971",9.3,48.3,39,2.22,1.312,54855.94512,3.03,0.57,4.2,6383,26808.6
Nariman Point,400021,0,18.92716185,72.8224364,"32,709",-13,-7.3,5.7,29.65,0.689,47473.14949,14.63,1.95,4.3,2498,10741.4
Vihar Road,400072,1,19.11911777,72.88653863,"1,88,223",9.3,48.8,39.5,2.19,3.956,47579.12032,2.32,2.25,4.2,6307,26489.4
Bhandup West,400078,0,19.14290521,72.93181124,"2,58,698",9.3,49.7,40.4,2.14,7.1,36436.33803,7.34,0.66,4.2,4673,19626.6
Bandra West,400050,3,19.05463984,72.82821503,"2,58,247",9.3,43,33.7,2.57,4.822,53555.99336,4.28,0.87,4.2,4532,19034.4
Borivali West,400092,1,19.22109511,72.85233968,"1,90,396",10.6,74.9,64.3,1.75,26.2,7267.022901,13.59,4.35,4.1,12390,50799
Kopri Colony,400603,0,19.21053526,72.96600856,"1,00,533",52,218.9,166.9,16.2,2.822,35624.73423,11.96,0.57,4.1,2803,11492.3
Ghatkopar West,400086,1,19.10992685,72.91688988,"1,22,273",9.3,47.2,37.9,2.28,2.388,51203.09883,3.12,0.44,4.2,3953,16602.6
Ghatkopar West,400086,1,19.093355,72.9086499,"1,22,273",9.3,47.2,37.9,2.28,2.388,51203.09883,3.12,0.44,4.4,620,2728
Ghatkopar West,400086,1,19.10568309,72.91551635,"1,22,273",9.3,47.2,37.9,2.28,2.388,51203.09883,3.12,0.44,4.3,101,434.3
Andheri,400053,3,19.14817577,72.83154125,"2,85,007",9.3,50.5,41.2,2.1,8.4,33929.40476,5.92,2.06,4.1,2834,11619.4
Andheri,400053,3,19.15044605,72.82467479,"2,85,007",9.3,50.5,41.2,2.1,8.4,33929.40476,5.92,2.06,4.2,5180,21756
Vileeparle (East),400057,0,19.10389818,72.85073441,"1,09,235",9.3,42.8,33.5,2.58,1.785,61196.07843,1.87,0.44,4.2,4025,16905
Vidyanagari,400098,1,19.07333736,72.86672963,"93,566",9.3,47.5,38.2,2.26,2.354,39747.66355,1.54,1.59,4.2,5588,23469.6
Borivali,400091,1,19.23066038,72.84062508,"2,16,348",9.8,69.7,59.9,1.6,5.1,42421.17647,12.14,1.51,4.4,1176,5174.4
S.B. Road,400080,1,19.1860892,72.95115886,"3,58,336",26.1,105,78.9,8.63,6.8,52696.47059,9.73,0.77,4.1,2287,9376.7
S.B. Road,400080,1,19.17514529,72.95682369,"3,58,336",26.1,105,78.9,8.63,6.8,52696.47059,9.73,0.77,4.1,"7,469",30622.9
S.B. Road,400080,1,19.16625874,72.93776947,"3,58,336",26.1,105,78.9,8.63,6.8,52696.47059,9.73,0.77,4,"1,973",7892
Airport,400099,2,19.10506406,72.87428421,"4,14,493",9.3,53.8,44.5,1.94,10.4,39855.09615,0.75,1.92,4.7,123,578.1
Nehru Nagar,400024,1,19.06529725,72.8811698,"1,19,627",9.3,46.8,37.5,2.31,2.425,49330.72165,2.74,0.49,4.2,22,92.4
Orlem,400064,4,19.18711225,72.84651184,"1,63,493",9.3,51.7,42.4,2.04,2.768,59065.39017,8.67,0.59,4.2,3069,12889.8
Orlem,400064,4,19.18060053,72.83518195,"1,63,493",9.3,51.7,42.4,2.04,2.768,59065.39017,8.67,0.59,4.2,"1,206",5065.2
Orlem,400064,4,19.19162514,72.8344953,"1,63,493",9.3,51.7,42.4,2.04,2.768,59065.39017,8.67,0.59,4.1,"1,005",4120.5
Chembur,400071,2,19.05875054,72.90064912,"3,21,592",9.3,48.8,39.5,2.19,5.9,54507.11864,3.89,1.42,4.2,1772,7442.4
Kandivali East,400101,2,19.23366448,72.87759852,"1,67,296",9.6,58.9,49.3,1.87,5.3,31565.28302,9.67,1.32,4.1,5643,23136.3
Kandivali RS,400067,0,19.20476482,72.85120751,"5,65,383",10.5,60.5,50,2.21,15.6,36242.5,10.98,2.19,4.3,"3,517",15123.1
Motilal Nagar,400104,0,19.16322357,72.84602532,"2,35,733",9.3,53.6,44.3,1.95,5.1,46222.15686,7.03,0.82,4.2,"2,783",11688.6
Mazgaon Dock,400010,0,18.96920601,72.83944495,"1,03,131",-13.6,-18.6,-5,-36.99,2.793,36924.81203,10.37,0.94,4.4,248,1091.2
Oshiwara,400102,0,19.14233948,72.84872442,"2,28,110",9.3,50.7,41.4,2.09,4.116,55420.31098,5.13,0.82,4.3,"3,511",15097.3
Oshiwara,400102,0,19.15823135,72.83567816,"2,28,110",9.3,50.7,41.4,2.09,4.116,55420.31098,5.13,0.82,4.9,32,156.8
Dahisar,400068,0,19.26688807,72.85152663,"3,14,005",36.4,166.2,129.8,10.21,9.1,34506.04396,14.54,0.46,4.1,"6,547",26842.7
Dahisar,400068,0,19.27174941,72.87555923,"3,14,005",36.4,166.2,129.8,10.21,9.1,34506.04396,14.54,0.46,4.1,"4,271",17511.1
Dahisar,400068,0,19.2497102,72.86594619,"3,14,005",36.4,166.2,129.8,10.21,9.1,34506.04396,14.54,0.46,4.5,708,3186
H.M.P. School,400058,0,19.13291021,72.84484885,"1,85,675",9.3,43.8,34.5,2.51,3.275,56694.65649,3.68,0.67,4.1,"5,177",21225.7
H.M.P. School,400058,0,18.95412098,72.83199301,"1,85,675",9.3,43.8,34.5,2.51,3.275,56694.65649,3.68,0.67,4.5,784,3528
Jacob Circle,400011,0,18.98960328,72.82738323,"82,885",-13.6,-18.3,-4.7,-39.35,1.529,54208.63309,9.96,0.35,4.2,38,159.6
Transit Camp,400022,0,19.057088,72.90772051,"1,70,333",7.9,40.6,32.7,1.91,3.576,47632.27069,3.96,0.52,3.8,38,144.4
Airoli,400708,0,19.14760383,72.9953879,"1,08,285",53.3,256.4,203.1,13.99,13.3,8141.729323,12.53,2.71,4.1,8976,36801.6
Jekegram,400606,0,19.20367099,72.96609787,"2,54,026",52.5,289.6,237.1,11.62,4.768,53277.2651,13.17,2.52,4.3,2508,10784.4
Naupada,400602,0,19.18784551,72.97486709,"2,52,728",52.1,220.8,168.7,16.09,3.495,72311.30186,12.49,0.68,4.2,13490,56658
Thane,400601,0,19.21332786,72.98499161,"1,61,152",52,220.4,168.4,16.06,2.971,54241.66947,13.76,1.52,4.3,3973,17083.9
Thane,400601,0,19.21883916,72.97889764,"1,61,152",52,220.4,168.4,16.06,2.971,54241.66947,13.76,1.52,4.2,4594,19294.8
Sandozbaugh,400607,2,19.26981177,72.96526879,"2,34,724",58.3,650.6,592.3,5.74,7.7,30483.63636,16.72,4.38,4.2,"1,830",7686
Sandozbaugh,400607,2,19.23188557,72.97718101,"2,34,724",58.3,650.6,592.3,5.74,7.7,30483.63636,16.72,4.38,4,"1,216",4864
NERUL NODE-III,400706,3,19.02466607,73.02245814,"1,02,907",53.4,254.5,201.1,14.18,20.9,4923.779904,13.53,6.95,4.2,2588,10869.6
NERUL NODE-III,400706,3,19.02207941,73.01919652,"1,02,907",53.4,254.5,201.1,14.18,20.9,4923.779904,13.53,6.95,4.3,651,2799.3
NERUL NODE-III,400706,3,19.02207941,73.01795198,"1,02,907",53.4,254.5,201.1,14.18,20.9,4923.779904,13.53,6.95,4.4,482,2120.8
Navi Mumbai,400703,1,19.06419499,72.99723765,"1,25,759",52.6,254.9,202.3,13.68,14,8982.785714,12.08,5.99,4.3,648,2786.4
Sanpada,400705,1,19.06592193,73.0012309,"61,093",52.9,262.5,209.6,13.35,12.5,4887.44,12.56,5.9,4.2,"9,772",41042.4
Sanpada,400705,1,19.06613489,73.00123626,"61,093",52.9,262.5,209.6,13.35,12.5,4887.44,12.56,5.9,4.1,1003,4112.3
mira,401107,1,19.2873155,72.86766834,"93,484",66.7,495.6,428.9,10.37,12.3,7600.325203,17.1,3.95,4.1,"13,217",54189.7
Kopar Khairne,400709,1,19.10128011,73.01023498,"41,435",52.7,237.1,184.4,15.06,7,5919.285714,10.71,5.79,4.2,4762,20000.4
Ghansoli,400701,1,19.11848797,73.00655838,"80,058",55.4,356.6,301.2,10.19,22.4,3574.017857,12.01,5.49,4.1,5421,22226.1
Ghansoli,400701,1,19.13756709,73.00361294,"80,058",55.4,356.6,301.2,10.19,22.4,3574.017857,12.01,5.49,4.4,2224,9785.6
Bhayander West,401101,0,19.29464593,72.84802355,"2,89,564",53,244.4,191.4,14.68,35.5,8156.732394,17.8,2.06,4.2,4011,16846.2
Poynad,401208,0,19.33261147,72.89259035,"3,30,584",96.8,951.6,854.8,10.96,150.6,2195.112882,39.21,5.79,4.2,6826,28669.2
Poynad,401208,0,19.40412191,72.83766078,"3,30,584",96.8,951.6,854.8,10.96,150.6,2195.112882,39.21,5.79,4.2,2610,10962
kharghar,410210,3,19.03093554,73.06645144,"1,01,378",21.8,151.8,130,3.66,24.6,4121.056911,16.65,2.7,4.2,5645,23709
kharghar,410210,3,19.04716688,73.07008045,"1,01,378",21.8,151.8,130,3.66,24.6,4121.056911,16.65,2.7,4.3,2865,12319.5
Kalamboli Node,410218,1,19.02144854,73.10252322,"76,092",16.3,67.2,50.9,5.22,10.8,7045.555556,19.55,1.19,4.2,42224,177340.8
Panvel,410206,2,18.99362249,73.11575851,"3,87,166",29.8,120.4,90.6,9.8,571.7,677.2188211,25.15,0.87,4.2,4384,18412.8
Manpada,421204,2,19.17953543,73.07434157,"23,192",53.3,264,210.7,13.48,9.4,2467.234043,17.91,0.71,4.3,813,3495.9
Katemanivali,421306,2,19.22873917,73.12353641,"2,96,958",47.9,203.8,155.9,14.72,16.4,18107.19512,24.41,1.94,4.3,2818,12117.4
Bassein,401202,1,19.36801299,72.81627698,"2,01,955",38.2,105.2,67,21.78,20.2,9997.772277,24.73,4.01,4.1,5411,22185.1
Shastrinagar,421302,0,19.30349195,73.10937154,"4,79,906",59.9,437.5,377.6,9.5,657.3,730.1171459,31.17,10.09,4.2,4410,18522
Badlapur E.D.,421503,2,19.17599636,73.22429498,"5,60,727",46.1,210.5,164.4,12.93,33.2,16889.36747,31.62,0.47,4.2,2807,11789.4
Ramnagar,421201,0,19.21509947,73.10184138,"1,58,251",42,184,142,12.42,16.1,9829.254658,19.9,0.64,4.3,5788,24888.4
Sopara,401203,0,19.4203753,72.81382175,"1,52,782",41.6,192,150.4,11.51,21.9,6976.347032,29.09,1.86,4.2,1789,7513.8
Ambernath,421501,2,19.2223265,73.17228962,"1,88,503",66.3,395,328.7,13.37,79.8,2362.192982,24.16,5.63,4.3,715,3074.5
Kalyan City,421301,1,19.26072336,73.13778273,"2,83,853",48,231.4,183.4,12.56,24.9,11399.71888,25.68,1.52,4.2,8411,35326.2
Shilphata,410203,4,18.81651545,73.30048913,"1,17,815",29.1,286,256.9,3.3,149,790.704698,45.08,6.14,4,4597,18388
Chinchwad East,411019,1,18.63682918,73.79645144,"1,17,785",28.8,"1,344.90","1,316.10",0.63,9,13087.22222,11.64,1.29,4.1,4529,18568.9
Dapodi Bazar,411012,0,18.58709538,73.83330233,"14,992",41.3,"1,805.00","1,763.70",0.97,1.481,10122.88994,7.44,0.29,4.2,3824,16060.8
NIBM,411048,1,18.45847143,73.8071715,"4,67,742",52.2,358,305.8,8.91,25.9,18059.53668,10.71,4.18,4.2,4717,19811.4
T.V. Nagar,411037,1,18.48798129,73.85775634,"4,18,158",34.2,105.7,71.5,16.36,10.5,39824.57143,9.83,4.34,4.1,5459,22381.9
Guruwar Peth,411042,0,18.50125832,73.87258844,"1,25,575",25.7,71.5,45.8,14.42,2.338,53710.43627,8.11,2.31,4.2,1318,5535.6
Gondhale Nagar,411028,2,18.51944295,73.9320483,"1,35,538",29.4,747.2,717.8,1.2,3.663,37001.911,6.52,1.69,4.3,4463,19190.9
Gondhale Nagar,411028,2,18.46741554,73.9061556,"1,35,538",29.4,747.2,717.8,1.2,3.663,37001.911,6.52,1.69,4.3,981,4218.3
Pune,411001,1,18.51949288,73.87732982,"2,96,695",42.3,206.8,164.5,10.88,13.8,21499.63768,5.74,0.8,4.3,2050,8815
Aundh T.S.,411007,4,18.56284331,73.80780223,"48,261",51,804.6,753.6,3.45,6.1,7911.639344,8.4,1.7,4.1,6836,28027.6
Chinchwadgaon,411033,4,18.60868538,73.77071529,"90,529",35.5,975.9,940.4,1.34,24.5,3695.061224,14.5,2.2,4.1,5308,21762.8
Chinchwadgaon,411033,4,18.62870759,73.78359045,"90,529",35.5,975.9,940.4,1.34,24.5,3695.061224,14.5,2.2,4.3,400,1720
A.R. Shala,411004,2,18.51853365,73.84459438,"1,22,656",25.4,23.6,-1.8,-358.42,3.775,32491.65563,8.87,1.75,4.2,13360,56112
Kothrud,411038,1,18.508259,73.79656013,"1,49,280",0.8,-24.3,-25.1,-0.03,13.2,11309.09091,11.23,4.12,4.2,7121,29908.2
Warje,411058,0,18.48752419,73.79642694,"58,620",3.9,-11.4,-15.3,-0.99,14.5,4042.758621,13.75,6.62,4.2,5796,24343.2
Loni Kalbhor,412201,1,18.49089004,74.01376697,"43,785",15.8,70,54.2,4.61,74.4,588.5080645,14.61,1.01,4.2,2656,11155.2
Vagholi,412207,2,18.58974986,73.99679885,"1,27,196",146.9,"1,945.30","1,798.40",12,319.6,397.9849812,18.71,6.79,4.3,3928,16890.4
Vadgaon Sheri,411014,3,18.55688858,73.94796964,"5,86,143",75.8,"15,534.60","15,458.80",0.37,23.1,25374.15584,2.18,2.67,4.4,2848,12531.2
Vadgaon Sheri,411014,3,18.56236133,73.91665237,"5,86,143",75.8,"15,534.60","15,458.80",0.37,23.1,25374.15584,2.18,2.67,4.4,2375,10450
Pimpri Colony,411017,0,18.59626113,73.7881634,"96,902",23.8,"1,067.60","1,043.80",0.54,7.9,12266.07595,10.63,1.14,4.1,4804,19696.4
Infotech Park,411057,2,18.59567995,73.73579091,"92,552",62.9,"4,527.60","4,464.70",0.89,43.3,2137.459584,16.13,5.95,4.1,7055,28925.5
Infotech Park,411057,2,18.58168113,73.73625191,"92,552",62.9,"4,527.60","4,464.70",0.89,43.3,2137.459584,16.13,5.95,4.3,929,3994.7
