,CustID,Zip_Code,Gender,Income_(per/month),Education,Age,Profession,Gourment_affinity,Cooking_affinity,Travel_affinity,social_media_affinity,qsr_visits,competitor_visits,food_apps,premium_customer_flag,non_premium_customers,premium_customer_model_probability,non_premium_customer_model_probability,Customer_Classification,Potential_Non_potential_customer_classification
0,1,400013,Male,129426,Post Doctoral Degree,46,Product_Manager,0,1,1,1,16,20,1,1,0,0.6453748773860828,0.84,Potential_Customer,Prospect_Potential_Customer
1,2,400013,Male,161148,Post Doctoral Degree,48,Product_Manager,1,0,1,1,2,10,1,0,1,0.6711131163675419,0.31,Premium_Customer,Prospect_Potential_Customer
2,3,400013,Female,74325,Post Doctoral Degree,57,Full_Stack_Software_Developer,1,0,0,1,6,1,1,1,0,0.5522518933856684,0.47,Potential_Customer,Prospect_Potential_Customer
3,4,400013,Male,107493,Bachelor's Degree,37,Product_Manager,0,0,0,1,5,11,1,0,1,0.5239396336948867,0.32,Premium_Customer,Prospect_Potential_Customer
4,5,400013,Male,114530,Master's Degree,28,Product_Manager,0,0,1,0,15,18,0,0,1,0.6018282129708543,0.82,Potential_Customer,Prospect_Potential_Customer
5,6,400013,Female,47092,Master's Degree,28,Data_Scientist,1,1,1,1,8,11,0,1,0,0.4779365612230209,0.71,Non_Premium_Customer,Prospect_Potential_Customer
6,7,400013,Male,107677,Master's Degree,37,Investment Banker,1,1,1,0,14,7,1,1,0,0.5977313583066926,0.3,Premium_Customer,Prospect_Potential_Customer
7,8,400013,Male,93726,Post Doctoral Degree,52,Machine_Learning_Expert,1,0,0,1,2,26,0,1,0,0.42993753927809336,0.63,Non_Premium_Customer,Prospect_Potential_Customer
8,9,400013,Female,180426,Bachelor's Degree,41,Product_Manager,1,1,0,1,26,25,1,1,0,0.43075272161882394,0.49,Non_Premium_Customer,Prospect_Potential_Customer
9,10,400013,Female,166894,Bachelor's Degree,51,Full_Stack_Software_Developer,0,0,1,0,2,2,0,0,1,0.47969558058067996,0.62,Non_Premium_Customer,Prospect_Potential_Customer
10,11,400052,Female,78515,Master's Degree,59,Corporate_Lawyer,0,1,0,1,19,26,1,0,1,0.5274468257986814,0.48,Potential_Customer,Prospect_Potential_Customer
11,12,400052,Male,196473,Bachelor's Degree,52,Machine_Learning_Expert,0,0,1,1,17,10,1,1,0,0.3618217521469652,0.76,Non_Premium_Customer,Prospect_Potential_Customer
12,13,400052,Female,120206,Post Doctoral Degree,35,Product_Manager,1,0,0,0,11,15,0,1,0,0.6151158873157844,0.19,Premium_Customer,Prospect_Potential_Customer
13,14,400052,Male,117140,Bachelor's Degree,32,Machine_Learning_Expert,0,1,1,1,20,7,0,0,1,0.4169525511128291,0.68,Non_Premium_Customer,Prospect_Potential_Customer
14,15,400052,Female,160588,Bachelor's Degree,54,Investment Banker,0,1,1,0,6,6,0,1,0,0.5443484453151406,0.49,Potential_Customer,Prospect_Potential_Customer
15,16,400052,Male,109209,Master's Degree,57,Management_Consultant,0,0,0,1,28,21,1,0,1,0.47728570484323307,0.79,Non_Premium_Customer,Prospect_Potential_Customer
16,17,400052,Female,54103,Post Doctoral Degree,27,Corporate_Lawyer,1,0,1,0,30,29,1,0,1,0.5566281869674294,0.53,Potential_Customer,Prospect_Potential_Customer
17,18,400052,Male,175048,Master's Degree,43,Product_Manager,0,1,1,1,22,30,0,1,0,0.5799659654357799,0.54,Potential_Customer,Prospect_Potential_Customer
18,19,400052,Female,179739,Post Doctoral Degree,54,Investment Banker,0,1,1,1,22,9,0,0,1,0.658569701900328,0.47,Potential_Customer,Prospect_Potential_Customer
19,20,400052,Male,145768,Master's Degree,41,Data_Scientist,0,0,1,0,16,17,0,0,1,0.48395662175571336,0.91,Non_Premium_Customer,Prospect_Potential_Customer
20,21,400001,Male,73620,Master's Degree,31,Full_Stack_Software_Developer,0,0,1,1,30,15,1,1,0,0.4813106843615898,0.37,Non_Potential_Customer,Prospect_Non_Potential_Customer
21,22,400001,Female,48661,Master's Degree,32,Investment Banker,1,1,0,0,19,12,0,0,1,0.5422495256632626,0.54,Potential_Customer,Prospect_Potential_Customer
22,23,400001,Female,43704,Post Doctoral Degree,37,Data_Scientist,0,0,0,1,26,20,1,0,1,0.4318705176518048,0.44,Non_Potential_Customer,Prospect_Non_Potential_Customer
23,24,400001,Male,81084,Master's Degree,34,Data_Scientist,1,1,0,1,3,20,0,0,1,0.46748149200031985,0.82,Non_Premium_Customer,Prospect_Potential_Customer
24,25,400001,Female,70851,Bachelor's Degree,31,Management_Consultant,1,1,0,1,23,28,1,0,1,0.3491044798885128,0.49,Non_Premium_Customer,Prospect_Potential_Customer
25,26,400001,Male,194797,Master's Degree,48,Blockchain_Developer,1,0,1,1,24,17,1,0,1,0.4180607948293203,0.68,Non_Premium_Customer,Prospect_Potential_Customer
26,27,400001,Female,195506,Bachelor's Degree,28,Blockchain_Developer,1,1,1,1,24,30,0,0,1,0.3112363993206304,0.58,Non_Premium_Customer,Prospect_Potential_Customer
27,28,400001,Male,157057,Master's Degree,52,Management_Consultant,0,1,1,0,16,11,0,1,0,0.5955395239520747,0.52,Potential_Customer,Prospect_Potential_Customer
28,29,400001,Male,113305,Post Doctoral Degree,44,Management_Consultant,0,1,1,0,5,9,0,1,0,0.6625026480792365,0.33,Premium_Customer,Prospect_Potential_Customer
29,30,400001,Female,191134,Master's Degree,49,Management_Consultant,1,1,0,1,7,16,1,0,1,0.4792574246322986,0.55,Non_Premium_Customer,Prospect_Potential_Customer
30,31,400008,Female,81110,Post Doctoral Degree,50,Management_Consultant,0,0,0,0,22,23,1,1,0,0.48380101477476134,0.37,Non_Potential_Customer,Prospect_Non_Potential_Customer
31,32,400008,Male,41880,Post Doctoral Degree,30,Machine_Learning_Expert,0,0,0,0,1,27,0,1,0,0.41781322324136044,0.38,Non_Potential_Customer,Prospect_Non_Potential_Customer
32,33,400008,Female,105085,Post Doctoral Degree,48,Product_Manager,0,0,1,1,25,15,1,0,1,0.6069630090743299,0.65,Potential_Customer,Prospect_Potential_Customer
33,34,400008,Male,78179,Post Doctoral Degree,52,Management_Consultant,1,1,1,0,20,25,1,0,1,0.5523716411559425,0.36,Premium_Customer,Prospect_Potential_Customer
