Sub_District,Zip_Code,Premium_Customer_count,Non_premium_Customer_count,Potential_Customer_count,Non_Potential_Customer_Count,Actual_sales_profit_percentage,Prosperity_Score
Delisle Road,400013,1,8,0,1,0.8,131
Khar Delivery,400052,0,10,0,0,0.990476,218
Mumbai G.P.O.,400001,1,9,0,0,0.857143,126
Mumbai Central,400008,2,8,0,0,0.980952,201
Bhawani Shankar,400028,2,8,0,0,1,220
Haji Ali,400034,2,8,0,0,0.809524,105
Vileparle(West),400056,1,9,0,0,0.885714,101
Vileparle(West),400056,1,9,0,0,0.628571,80
Sharma Estate,400063,0,10,0,0,0.371429,62
Sharma Estate,400063,0,10,0,0,0.609524,125
Sharma Estate,400063,0,10,0,0,0.219048,56
Chakala Midc,400093,1,8,1,0,0.742857,107
Andheri East,400069,2,8,0,0,0.638095,81
Marine Lines,400020,2,8,0,0,0.27619,61
Tilak Nagar,400089,3,7,0,0,0.933333,116
Nariman Point,400021,1,9,0,0,0.714286,110
Vihar Road,400072,1,9,0,0,0.361905,80
Bhandup West,400078,2,8,0,0,0.47619,86
Bandra West,400050,2,8,0,0,0.752381,153
Borivali West,400092,2,8,0,0,0.685714,96
Kopri Colony,400603,1,9,0,0,0.171429,34
Ghatkopar West,400086,2,8,0,0,0.457143,66
Ghatkopar West,400086,2,8,0,0,0.447619,100
Ghatkopar West,400086,2,8,0,0,0.485714,83
Andheri,400053,1,8,1,0,0.695238,150
Andheri,400053,1,8,1,0,0.095238,31
Vileeparle (East),400057,1,9,0,0,0.961905,152
Vidyanagari,400098,0,10,0,0,0.4,66
Borivali,400091,5,5,0,0,0.352381,82
S.B. Road,400080,2,8,0,0,0.552381,107
S.B. Road,400080,2,8,0,0,0.866667,109
S.B. Road,400080,2,8,0,0,0.247619,64
Airport,400099,3,7,0,0,0.12381,52
Nehru Nagar,400024,2,7,1,0,0.895238,162
Orlem,400064,3,7,0,0,0.87619,120
Orlem,400064,3,7,0,0,0.657143,103
Orlem,400064,3,7,0,0,0.733333,158
Chembur,400071,1,9,0,0,0.838095,117
Kandivali East,400101,2,8,0,0,0.028571,2
Kandivali RS,400067,1,9,0,0,0.92381,169
Motilal Nagar,400104,3,6,1,0,0.942857,159
Mazgaon Dock,400010,1,9,0,0,0.495238,114
Oshiwara,400102,3,7,0,0,0.228571,35
Oshiwara,400102,3,7,0,0,0.790476,129
Dahisar,400068,3,7,0,0,0.114286,6
Dahisar,400068,3,7,0,0,0.295238,74
Dahisar,400068,3,7,0,0,0.590476,114
H.M.P. School,400058,4,6,0,0,0.571429,67
H.M.P. School,400058,4,6,0,0,0.971429,172
Jacob Circle,400011,1,9,0,0,0.409524,54
Transit Camp,400022,1,9,0,0,0.704762,100
Airoli,400708,2,8,0,0,0.647619,112
Jekegram,400606,2,8,0,0,0.514286,105
Naupada,400602,2,8,0,0,0.952381,121
Thane,400601,3,7,0,0,0.304762,53
Thane,400601,3,7,0,0,0.819048,103
Sandozbaugh,400607,2,8,0,0,0.285714,119
Sandozbaugh,400607,2,8,0,0,0.257143,96
NERUL NODE-III,400706,1,9,0,0,0.761905,150
NERUL NODE-III,400706,1,9,0,0,0.847619,165
NERUL NODE-III,400706,1,9,0,0,0.771429,190
Navi Mumbai,400703,6,4,0,0,0.419048,80
Sanpada,400705,1,9,0,0,0.828571,114
Sanpada,400705,1,9,0,0,0.666667,110
mira,401107,2,8,0,0,0.67619,114
Kopar Khairne,400709,2,7,1,0,0.466667,119
Ghansoli,400701,1,9,0,0,0.190476,55
Ghansoli,400701,1,9,0,0,0.057143,23
Bhayander West,401101,1,9,0,0,0.580952,93
Poynad,401208,2,8,0,0,0.038095,3
Poynad,401208,2,8,0,0,0.152381,82
kharghar,410210,2,8,0,0,0.333333,99
kharghar,410210,2,8,0,0,0.533333,135
Kalamboli Node,410218,3,7,0,0,0.2,46
Panvel,410206,0,10,0,0,0.380952,103
Manpada,421204,2,8,0,0,0.009524,4
Katemanivali,421306,1,9,0,0,0.314286,92
Bassein,401202,3,7,0,0,0.266667,89
Shastrinagar,421302,3,7,0,0,0.019048,4
Badlapur E.D.,421503,2,7,1,0,0.104762,43
Ramnagar,421201,1,9,0,0,0.390476,62
Sopara,401203,4,6,0,0,0.780952,170
Ambernath,421501,4,6,0,0,0.047619,12
Kalyan City,421301,1,9,0,0,0.209524,66
Shilphata,410203,0,10,0,0,0,1
Chinchwad East,411019,2,8,0,0,0.438095,84
Dapodi Bazar,411012,0,10,0,0,0.180952,37
NIBM,411048,1,9,0,0,0.142857,58
T.V. Nagar,411037,2,8,0,0,0.6,119
Guruwar Peth,411042,1,9,0,0,0.52381,110
Gondhale Nagar,411028,3,7,0,0,0.561905,124
Gondhale Nagar,411028,3,7,0,0,0.161905,54
Pune,411001,3,7,0,0,0.904762,167
Aundh T.S.,411007,3,7,0,0,0.619048,126
Chinchwadgaon,411033,0,10,0,0,0.342857,131
Chinchwadgaon,411033,0,10,0,0,0.504762,145
A.R. Shala,411004,1,9,0,0,0.914286,180
Kothrud,411038,2,7,1,0,0.428571,109
Warje,411058,2,8,0,0,0.32381,94
Loni Kalbhor,412201,1,9,0,0,0.07619,29
Vagholi,412207,2,8,0,0,0.085714,72
Vadgaon Sheri,411014,3,7,0,0,0.133333,52
Vadgaon Sheri,411014,3,7,0,0,0.72381,144
Pimpri Colony,411017,1,9,0,0,0.542857,91
Infotech Park,411057,1,9,0,0,0.238095,89
Infotech Park,411057,1,9,0,0,0.066667,51
