z/h,x/D,Run,Avg_u/Umax,rms_u/k^0.5,rms_w/k^0.5,rss/rssmax,k/kmax
0.01,2,1,-0.144148886,1.669605688,0.622217856,0.032635207,0.33068881
0.016666667,2,1,-0.165778509,1.610162027,0.69473688,0.029108206,0.347735468
0.023333333,2,1,-0.162790128,1.50773426,0.648639239,0.024356136,0.307743245
0.03,2,1,-0.13032782,1.573639135,0.785557989,0.059087179,0.349374799
0.04,2,1,-0.125033132,1.611866703,0.666132342,0.115286587,0.337856994
0.05,2,1,-0.080318458,1.604381715,0.803584471,0.09393426,0.374623658
0.066666667,2,1,-0.073621296,1.840204448,0.924930161,0.168638251,0.50877462
0.083333333,2,1,0.012496193,1.963552023,1.139554987,0.298891682,0.607911064
0.1,2,1,0.039220898,2.090841615,1.211072432,0.490708403,0.651188425
0.116666667,2,1,0.0844852,2.142669434,1.301012399,0.469109642,0.73548113
0.133333333,2,1,0.169133182,2.568355397,1.512098423,0.787968997,0.91119707
0.15,2,1,0.267889789,2.575342664,1.465500619,0.816381242,0.984408083
0.166666667,2,1,0.353299811,2.819914884,1.567810234,1,1
0.2,2,1,0.581814892,2.766997594,1.455327939,0.918721267,0.943684584
0.233333333,2,1,0.762005693,2.054948669,1.112544631,0.381927178,0.548878552
0.266666667,2,1,0.811214946,1.831871292,0.99608005,0.197660541,0.382085474
0.3,2,1,0.845198733,1.453738045,0.873304021,0.158926358,0.248977855
0.333333333,2,1,0.871685149,1.310666517,0.825046024,0.132615554,0.180412316
0.366666667,2,1,0.885919183,1.211113319,0.727630626,0.11706569,0.150612533
0.433333333,2,1,0.910621474,1.101979942,0.673615514,0.122131939,0.113069125
0.5,2,1,0.93237454,1.063567662,0.649221181,0.079422777,0.085497924
0.566666667,2,1,0.976226499,1.147705813,0.653006773,0.056566193,0.075363025
0.633333333,2,1,0.992620929,1.159953185,0.635622751,0.063588916,0.071954498
0.7,2,1,0.984832635,0.916385118,0.491467374,0.0265798,0.045986699
0.766666667,2,1,1,0.88387311,0.469832824,0.019900091,0.03979892
0.816666667,2,1,0.999889169,0.865903849,0.455225496,0.015383393,0.035632818
0.01,3,1,-0.206085655,1.800809835,0.87391562,0.217144171,0.47251886
0.016666667,3,1,-0.170865317,1.964496696,0.968470694,0.247636419,0.545565018
0.023333333,3,1,-0.147511452,1.920979948,1.015543604,0.283263672,0.567990012
0.03,3,1,-0.173418007,1.902749158,1.013011951,0.258989257,0.552030779
0.04,3,1,-0.085792366,2.143492124,1.171176846,0.412371361,0.696498915
0.05,3,1,-0.055263565,1.892472047,1.106108468,0.342944772,0.628241343
0.066666667,3,1,0.003651136,2.242433201,1.256739402,0.451997013,0.782881857
0.083333333,3,1,0.046477494,2.265072271,1.23614097,0.454311637,0.773505301
0.1,3,1,0.098545855,2.40678776,1.379077565,0.608399104,0.896621448
0.116666667,3,1,0.179790274,2.267990451,1.441769232,0.479962432,0.856487186
0.133333333,3,1,0.24980331,2.554793811,1.616461338,0.631473788,0.946172065
0.15,3,1,0.300709975,2.626011334,1.694894874,0.912870884,0.996346105
0.166666667,3,1,0.404975247,2.635144988,1.70628967,1,1
0.2,3,1,0.583326772,2.631916881,1.510308233,0.725555926,0.916635267
0.233333333,3,1,0.727032741,2.195658235,1.349094563,0.514681403,0.636291215
0.266666667,3,1,0.818046479,1.92732518,1.306341775,0.365130091,0.494752376
0.3,3,1,0.848246486,1.53490892,0.967653232,0.131909505,0.272048708
0.333333333,3,1,0.860748208,1.425564796,0.867218371,0.120757651,0.226079557
0.366666667,3,1,0.889714263,1.26768597,0.747836509,0.090071545,0.160656772
0.433333333,3,1,0.910237674,1.151374398,0.684293304,0.090090496,0.121152847
0.5,3,1,0.932384267,1.105730943,0.663905448,0.07033061,0.091674065
0.566666667,3,1,0.951407121,1.065271276,0.613939099,0.044765384,0.069952574
0.633333333,3,1,0.949445014,1.158153093,0.633801465,0.048325326,0.081574567
0.7,3,1,0.982385963,0.927552754,0.513492415,0.025642687,0.048803812
0.766666667,3,1,0.996792815,0.772009217,0.430569837,0.011376503,0.035228749
