z/z1,x/D,Run,Avg_udefect,z/z2,RMS_udefect,z/z2,RMS_wdefect,z/z2,RSS_uwdefect,z/z2,tke_defect
0.067358211,2,1,0.978184858,0.044562618,0.215268531,0.044562618,0.220625469,0.044562618,-0.054584831,0.044562618,0.214534903
0.112263685,2,1,0.966643309,0.07427103,0.27799618,0.07427103,0.251979662,0.07427103,-0.049771256,0.07427103,0.235666417
0.157169159,2,1,1,0.103979442,0.288650031,0.103979442,0.274423916,0.103979442,-0.051222616,0.103979442,0.182827165
0.202074633,2,1,0.944616917,0.133687854,0.331262081,0.133687854,0.33598366,0.133687854,-0.0363511,0.133687854,0.231410141
0.269432844,2,1,0.957610587,0.178250472,0.343012499,0.178250472,0.380546451,0.178250472,-0.018110599,0.178250472,0.219650353
0.336791055,2,1,0.934001346,0.22281309,0.381057685,0.22281309,0.414919148,0.22281309,0.001432585,0.22281309,0.257335264
0.44905474,2,1,0.905007614,0.297084119,0.509332989,0.297084119,0.496888029,0.297084119,0.084353367,0.297084119,0.411355311
0.561318425,2,1,0.862258467,0.371355149,0.6014983,0.371355149,0.59935741,0.371355149,0.223993044,0.371355149,0.535920708
0.67358211,2,1,0.828926475,0.445626179,0.673527531,0.445626179,0.715206624,0.445626179,0.432676276,0.445626179,0.589543112
0.785845795,2,1,0.777750129,0.519897209,0.73953904,0.519897209,0.807587673,0.519897209,0.612590741,0.519897209,0.683354489
0.89810948,2,1,0.64423071,0.594168239,0.823843058,0.594168239,0.878597943,0.594168239,0.761059931,0.594168239,0.902316432
1.010373164,2,1,0.485305507,0.668439269,0.902619398,0.668439269,0.959701182,0.668439269,0.893423959,0.668439269,0.982377034
1.122636849,2,1,0.359276223,0.742710298,1,0.742710298,1,0.742710298,1,0.742710298,1
1.347164219,2,1,-0.003732645,0.891252358,0.941410057,0.891252358,0.843796572,0.891252358,0.921474143,0.891252358,0.948187957
1.571691589,2,1,-0.276941133,1.039794418,0.614014449,1.039794418,0.547482544,1.039794418,0.345752245,1.039794418,0.495232632
1.796218959,2,1,-0.315950215,1.188336477,0.367406402,1.188336477,0.381439652,1.188336477,0.142658015,1.188336477,0.3112018
2.020746329,2,1,-0.338563978,1.336878537,0.206620955,1.336878537,0.290244075,1.336878537,0.104863713,1.336878537,0.169581708
2.245273699,2,1,-0.339818697,1.485420597,0.109679922,1.485420597,0.226507059,1.485420597,0.083764423,1.485420597,0.101827866
2.469801069,2,1,-0.335267027,1.633962657,0.070925127,1.633962657,0.190196303,1.633962657,0.072822559,1.633962657,0.066426627
2.918855809,2,1,-0.306521656,1.931046776,0.025955035,1.931046776,0.132672027,1.931046776,0.047522201,1.931046776,0.027746044
3.367910548,2,1,-0.278301711,2.228130895,0.002615018,2.228130895,0.099794023,2.228130895,0.041670994,2.228130895,0.015400517
3.816965288,2,1,-0.288765307,2.525215015,-0.00890989,2.525215015,0.098422884,2.525215015,0.027504782,2.525215015,0.016463778
4.266020028,2,1,-0.285118507,2.822299134,-0.0399642,2.822299134,0.069291902,2.822299134,0.022844032,2.822299134,0.026813315
4.715074768,2,1,-0.230888175,3.119383253,-0.06300353,3.119383253,0.031537983,3.119383253,0.010855274,3.119383253,-0.008940301
5.164129507,2,1,-0.235428935,3.416467373,-0.08901062,3.416467373,0.017170819,3.416467373,0.001242693,3.416467373,-0.015023571
5.500920562,2,1,-0.217503911,3.639280462,-0.095617804,3.639280462,0.00862734,3.639280462,-0.003934305,3.639280462,-0.015028901
0.076860012,3,1,1,0.043007053,0.581765511,0.043007053,0.410423547,0.043007053,0.182430222,0.043007053,0.375187105
0.12810002,3,1,0.944156296,0.071678422,0.637196458,0.071678422,0.466443197,0.071678422,0.213707194,0.071678422,0.460955678
0.179340029,3,1,0.941424615,0.100349791,0.653172039,0.100349791,0.489245803,0.100349791,0.223644137,0.100349791,0.479740987
0.230580037,3,1,0.887725692,0.129021159,0.694951677,0.129021159,0.527529275,0.129021159,0.233922839,0.129021159,0.462119432
0.307440049,3,1,0.881368038,0.172028213,0.747158751,0.172028213,0.570867624,0.172028213,0.267362572,0.172028213,0.630124846
0.384300061,3,1,0.859332898,0.215035266,0.755144656,0.215035266,0.619000955,0.215035266,0.285171264,0.215035266,0.54679335
0.512400082,3,1,0.77848657,0.286713688,0.815919299,0.286713688,0.68961327,0.286713688,0.339361545,0.286713688,0.724906964
0.640500102,3,1,0.730725035,0.35839211,0.856407808,0.35839211,0.759949519,0.35839211,0.404175427,0.35839211,0.725027003
0.768600123,3,1,0.696895688,0.430070532,0.898238434,0.430070532,0.808421435,0.430070532,0.501877552,0.430070532,0.870911969
0.896700143,3,1,0.585067767,0.501748953,0.912954876,0.501748953,0.884331163,0.501748953,0.584162232,0.501748953,0.821553282
1.024800164,3,1,0.479579293,0.573427375,0.951680711,0.573427375,0.941189702,0.573427375,0.705470947,0.573427375,0.942410082
1.152900184,3,1,0.406101504,0.645105797,0.985785202,0.645105797,0.98550584,0.645105797,0.904071508,0.645105797,0.996086356
1.281000205,3,1,0.250544769,0.716784219,1,0.716784219,1,0.716784219,1,0.716784219,1
1.537200246,3,1,-0.018478061,0.860141063,0.97022444,0.860141063,0.858840715,0.860141063,0.713779139,0.860141063,0.917122827
1.793400287,3,1,-0.223294779,1.003497907,0.709356599,1.003497907,0.668559627,1.003497907,0.494657769,1.003497907,0.594678953
2.049600328,3,1,-0.311353341,1.146854751,0.454475876,1.146854751,0.49371886,1.146854751,0.23835574,1.146854751,0.439336995
2.305800369,3,1,-0.349485478,1.290211595,0.277283531,1.290211595,0.32521854,1.290211595,0.119600289,1.290211595,0.194253513
2.56200041,3,1,-0.342345689,1.433568439,0.184834679,1.433568439,0.229841666,1.433568439,0.079830695,1.433568439,0.152561208
2.818200451,3,1,-0.348445318,1.576925282,0.110106774,1.576925282,0.161455762,1.576925282,0.069750509,1.576925282,0.075969845
3.330600533,3,1,-0.314106929,1.86363897,0.05532756,1.86363897,0.124968151,1.86363897,0.053852416,1.86363897,0.035002346
3.843000615,3,1,-0.288032329,2.150352658,0.023132999,2.150352658,0.097475775,2.150352658,0.038707765,2.150352658,0.020825975
4.355400697,3,1,-0.256585347,2.437066346,-0.015540474,2.437066346,0.065723316,2.437066346,0.030636284,2.437066346,0.008806261
4.867800779,3,1,-0.261701445,2.723780033,-0.045417526,2.723780033,0.060631088,2.723780033,0.032358899,2.723780033,0.036810383
5.380200861,3,1,-0.239227902,3.010493721,-0.06586153,3.010493721,0.024902087,3.010493721,0.01267808,3.010493721,-0.007019789
5.892600943,3,1,-0.242625602,3.297207409,-0.145493022,3.297207409,-0.005030919,3.297207409,-0.00454471,3.297207409,-0.021614251
6.276901004,3,1,-0.231015828,3.512242674,-0.15197536,3.512242674,-0.008746224,3.512242674,-0.009129834,3.512242674,-0.021200113
0.074874585,4,1,0.98091082,0.042390245,0.597287906,0.042390245,0.558942126,0.042390245,0.258419808,0.042390245,0.543340646
0.124790975,4,1,1,0.070650408,0.674279203,0.070650408,0.631463896,0.070650408,0.314099795,0.070650408,0.615067886
0.174707365,4,1,0.966581906,0.098910571,0.698452029,0.098910571,0.66597775,0.098910571,0.347055778,0.098910571,0.648107569
0.224623755,4,1,0.911927106,0.127170734,0.742528285,0.127170734,0.715608893,0.127170734,0.403922241,0.127170734,0.725690799
0.29949834,4,1,0.917558845,0.169560978,0.779104469,0.169560978,0.745778722,0.169560978,0.475445403,0.169560978,0.79836665
0.374372925,4,1,0.866216295,0.211951223,0.830676185,0.211951223,0.799016568,0.211951223,0.553441709,0.211951223,0.847705904
0.4991639,4,1,0.783533498,0.282601631,0.899237676,0.282601631,0.85906539,0.282601631,0.676796627,0.282601631,0.866718024
0.623954876,4,1,0.722508738,0.353252038,0.949714797,0.353252038,0.914262245,0.353252038,0.785241648,0.353252038,0.95976774
0.748745851,4,1,0.660158629,0.423902446,1,0.423902446,0.95967664,0.423902446,0.853299507,0.423902446,0.991273904
0.873536826,4,1,0.598223485,0.494552854,0.999796103,0.494552854,0.987401833,0.494552854,0.891653208,0.494552854,1
0.998327801,4,1,0.502349393,0.565203261,0.994772107,0.565203261,1,0.565203261,0.959422754,0.565203261,0.983851221
1.123118776,4,1,0.326483286,0.635853669,0.981254326,0.635853669,0.990759785,0.635853669,0.979321032,0.635853669,0.979461544
1.247909751,4,1,0.159896639,0.706504077,0.951929628,0.706504077,0.978122237,0.706504077,1,0.706504077,0.959152846
1.497491701,4,1,0.033905878,0.847804892,0.887313357,0.847804892,0.804490365,0.847804892,0.803961004,0.847804892,0.899657916
1.747073652,4,1,-0.184484034,0.989105707,0.69349332,0.989105707,0.607862876,0.989105707,0.516088758,0.989105707,0.541486519
1.996655602,4,1,-0.28768422,1.130406522,0.487621204,1.130406522,0.445227846,1.130406522,0.307400599,1.130406522,0.368262569
2.246237552,4,1,-0.329943669,1.271707338,0.325570119,1.271707338,0.329736443,1.271707338,0.122900091,1.271707338,0.213500107
2.495819502,4,1,-0.36322592,1.413008153,0.180121756,1.413008153,0.237016864,1.413008153,0.06289755,1.413008153,0.138862897
2.745401453,4,1,-0.361261091,1.554308968,0.115934439,1.554308968,0.182434614,1.554308968,0.054177565,1.554308968,0.083154704
3.244565353,4,1,-0.344803443,1.836910599,0.029500108,1.836910599,0.111637765,1.836910599,0.023313263,1.836910599,0.023840623
3.743729254,4,1,-0.314556413,2.11951223,0.008673113,2.11951223,0.071619364,2.11951223,0.018882844,2.11951223,0.012209007
4.242893154,4,1,-0.279281135,2.40211386,-0.037113089,2.40211386,0.040790676,2.40211386,0.01144357,2.40211386,-0.000639
4.742057054,4,1,-0.286814808,2.684715491,-0.066287668,2.684715491,0.021911025,2.684715491,0.013241534,2.684715491,0.023023337
5.241220955,4,1,-0.26371428,2.967317121,-0.109993844,2.967317121,-0.016374555,2.967317121,-0.004743798,2.967317121,-0.015850855
5.740384855,4,1,-0.25763549,3.249918752,-0.131935601,3.249918752,-0.012317964,3.249918752,-0.007317043,3.249918752,-0.02196192
6.114757781,4,1,-0.24837103,3.461869975,-0.126626036,3.461869975,-0.020824364,3.461869975,-0.00922877,3.461869975,-0.019775493
0.075640799,6,1,0.987437862,0.047293995,0.655986027,0.047293995,0.646995559,0.047293995,0.357055746,0.047293995,0.606110461
0.126067998,6,1,0.99150142,0.078823325,0.693213969,0.078823325,0.692010803,0.078823325,0.38418906,0.078823325,0.563432185
0.176495197,6,1,1,0.110352656,0.698268853,0.110352656,0.717989011,0.110352656,0.400604365,0.110352656,0.67656672
0.226922396,6,1,0.972316529,0.141881986,0.743200628,0.141881986,0.760834685,0.141881986,0.416585595,0.141881986,0.713266561
0.302563194,6,1,0.949284288,0.189175981,0.790500178,0.189175981,0.802333695,0.189175981,0.477569328,0.189175981,0.785404086
0.378203993,6,1,0.924903358,0.236469976,0.825379272,0.236469976,0.842482746,0.236469976,0.557935853,0.236469976,0.807783104
0.504271991,6,1,0.853659816,0.315293302,0.895422376,0.315293302,0.917404961,0.315293302,0.694671112,0.315293302,0.883406786
0.630339988,6,1,0.786094925,0.394116627,0.939863271,0.394116627,0.978382762,0.394116627,0.829585274,0.394116627,0.979731159
0.756407986,6,1,0.741170297,0.472939952,0.981534433,0.472939952,1,0.472939952,0.969275415,0.472939952,0.962392312
0.882475984,6,1,0.626287617,0.551763278,0.985990973,0.551763278,0.979385931,0.551763278,1,0.551763278,1
1.008543981,6,1,0.490818908,0.630586603,1,0.630586603,0.942113228,0.630586603,0.977286095,0.630586603,0.977898995
1.134611979,6,1,0.37206385,0.709409929,0.999254875,0.709409929,0.885881007,0.709409929,0.923580991,0.709409929,0.931360424
1.260679976,6,1,0.223742101,0.788233254,0.958391088,0.788233254,0.841885159,0.788233254,0.770149908,0.788233254,0.849494687
1.512815972,6,1,0.057181258,0.945879905,0.873103035,0.945879905,0.751026717,0.945879905,0.580264163,0.945879905,0.775666998
1.764951967,6,1,-0.078318465,1.103526556,0.672530521,1.103526556,0.621514744,1.103526556,0.346487242,1.103526556,0.533055671
2.017087962,6,1,-0.16366098,1.261173206,0.455947341,1.261173206,0.441112164,1.261173206,0.197939048,1.261173206,0.318943608
2.269223958,6,1,-0.269417546,1.418819857,0.288213282,1.418819857,0.315609948,1.418819857,0.103625866,1.418819857,0.185829305
2.521359953,6,1,-0.293301395,1.576466508,0.182118712,1.576466508,0.245058303,1.576466508,0.066503014,1.576466508,0.120612057
2.773495948,6,1,-0.329451693,1.734113159,0.1439145,1.734113159,0.182790941,1.734113159,0.046695064,1.734113159,0.06898355
3.277767939,6,1,-0.317408436,2.04940646,0.078575043,2.04940646,0.114698542,2.04940646,0.028217572,2.04940646,0.045550435
3.782039929,6,1,-0.307799883,2.364699762,0.062204129,2.364699762,0.092473359,2.364699762,0.011523597,2.364699762,0.025236047
4.28631192,6,1,-0.264526749,2.679993064,0.022814885,2.679993064,0.072551594,2.679993064,0.006489697,2.679993064,0.014690801
4.790583911,6,1,-0.273325915,2.995286365,0.000161908,2.995286365,0.053564215,2.995286365,-0.006974297,2.995286365,0.025446993
5.294855901,6,1,-0.264814765,3.310579667,-0.057337614,3.310579667,0.007263433,3.310579667,-0.004192752,3.310579667,-0.00580213
5.799127892,6,1,-0.262722701,3.625872968,-0.110253836,3.625872968,-0.003571348,3.625872968,-0.013357836,3.625872968,-0.01658094
6.177331885,6,1,-0.256621586,3.862342945,-0.114473179,3.862342945,-0.009293138,3.862342945,-0.009216571,3.862342945,-0.017554162
0.070023537,8,1,1,0.042302377,0.686983431,0.042302377,0.700149833,0.042302377,0.401956354,0.042302377,0.72012281
0.116705896,8,1,0.932936532,0.070503962,0.711348067,0.070503962,0.751140332,0.070503962,0.445997449,0.070503962,0.772510646
0.163388254,8,1,0.980359503,0.098705547,0.694767594,0.098705547,0.778462953,0.098705547,0.487967698,0.098705547,0.768475999
0.210070612,8,1,0.925950148,0.126907132,0.722501922,0.126907132,0.813001519,0.126907132,0.529818928,0.126907132,0.740796213
0.28009415,8,1,0.946598745,0.16920951,0.74054365,0.16920951,0.854418885,0.16920951,0.603264624,0.16920951,0.754276289
0.350117687,8,1,0.960278863,0.211511887,0.793702399,0.211511887,0.898973189,0.211511887,0.67152092,0.211511887,0.862041721
0.466823583,8,1,0.897877501,0.282015849,0.87710885,0.282015849,0.950228614,0.282015849,0.779746449,0.282015849,1
0.583529479,8,1,0.797857046,0.352519812,0.931309735,0.352519812,0.994090351,0.352519812,0.899872926,0.352519812,0.969915073
0.700235375,8,1,0.782610988,0.423023774,0.958137127,0.423023774,1,0.423023774,0.967450874,0.423023774,0.992844879
0.816941271,8,1,0.71809048,0.493527736,0.980741897,0.493527736,0.999069359,0.493527736,0.994081313,0.493527736,0.970018882
0.933647166,8,1,0.571933196,0.564031699,1,0.564031699,0.956713013,0.564031699,1,0.564031699,0.962864746
1.050353062,8,1,0.445412174,0.634535661,0.978739299,0.634535661,0.926124252,0.634535661,0.978215296,0.634535661,0.931182254
1.167058958,8,1,0.322909205,0.705039623,0.953880818,0.705039623,0.853287741,0.705039623,0.902430617,0.705039623,0.883820498
1.40047075,8,1,0.094873776,0.846047548,0.877670644,0.846047548,0.715802064,0.846047548,0.67417912,0.846047548,0.845329084
1.633882541,8,1,-0.048962646,0.987055473,0.722794818,0.987055473,0.593334663,0.987055473,0.512371459,0.987055473,0.516073045
1.867294333,8,1,-0.108030037,1.128063397,0.546471271,1.128063397,0.499408998,1.128063397,0.377639978,1.128063397,0.398008835
2.100706124,8,1,-0.206001699,1.269071322,0.359565783,1.269071322,0.369685835,1.269071322,0.227231917,1.269071322,0.248853624
2.334117916,8,1,-0.230763788,1.410079246,0.247165267,1.410079246,0.271340258,1.410079246,0.133868848,1.410079246,0.175863331
2.567529708,8,1,-0.266310765,1.551087171,0.181451655,1.551087171,0.208430298,1.551087171,0.069019541,1.551087171,0.092674012
3.034353291,8,1,-0.316530174,1.83310302,0.081027256,1.83310302,0.143925227,1.83310302,0.038740894,1.83310302,0.039156398
3.501176874,8,1,-0.320315514,2.11511887,0.061155162,2.11511887,0.111720968,2.11511887,0.005766809,2.11511887,0.026652757
3.968000457,8,1,-0.36016252,2.397134719,0.025103226,2.397134719,0.088521496,2.397134719,-0.003158138,2.397134719,0.017072615
4.43482404,8,1,-0.397963928,2.679150568,-0.002497139,2.679150568,0.072231777,2.679150568,0.012916917,2.679150568,0.016298938
4.901647623,8,1,-0.383005941,2.961166418,-0.035466422,2.961166418,0.021318197,2.961166418,-0.004138563,2.961166418,0.015252016
5.368471207,8,1,-0.370607399,3.243182267,-0.089362004,3.243182267,0.012378706,3.243182267,-0.011494418,3.243182267,-0.014653448
5.718588894,8,1,-0.31583754,3.454694154,-0.099356582,3.454694154,-0.004625145,3.454694154,-0.015819341,3.454694154,-0.015431028
0.06466151,10,1,0.868075759,0.038364643,0.654318645,0.038364643,0.61460635,0.038364643,0.216903425,0.038364643,0.676248429
0.107769184,10,1,0.842838153,0.063941072,0.664897303,0.063941072,0.714137224,0.063941072,0.301123956,0.063941072,0.666277789
0.150876857,10,1,0.908968812,0.089517501,0.643023044,0.089517501,0.732866796,0.089517501,0.356746752,0.089517501,0.722913259
0.193984531,10,1,0.907099645,0.115093929,0.680380336,0.115093929,0.807582033,0.115093929,0.459597725,0.115093929,0.78479449
0.258646041,10,1,1,0.153458573,0.717102274,0.153458573,0.880630897,0.153458573,0.539613497,0.153458573,0.744939539
0.323307552,10,1,0.980064442,0.191823216,0.739484342,0.191823216,0.908930042,0.191823216,0.61832588,0.191823216,0.757776227
0.431076736,10,1,0.932889033,0.255764288,0.822934576,0.255764288,0.940602441,0.255764288,0.737467204,0.255764288,0.812876107
0.53884592,10,1,0.865522119,0.31970536,0.888188011,0.31970536,0.981017356,0.31970536,0.808436131,0.31970536,0.832759819
0.646615104,10,1,0.86686154,0.383646431,0.959396145,0.383646431,0.984566094,0.383646431,0.867800748,0.383646431,0.934182834
0.754384287,10,1,0.809029876,0.447587503,0.951045079,0.447587503,1,0.447587503,0.930460947,0.447587503,0.833831665
0.862153471,10,1,0.660658211,0.511528575,0.982802394,0.511528575,0.995334967,0.511528575,0.965744427,0.511528575,0.86797668
0.969922655,10,1,0.542156165,0.575469647,1,0.575469647,0.984625317,0.575469647,1,0.575469647,1
1.077691839,10,1,0.391107741,0.639410719,0.984512099,0.639410719,0.975386225,0.639410719,0.968720931,0.639410719,0.895663887
1.293230207,10,1,0.19480487,0.767292863,0.992154099,0.767292863,0.848980978,0.767292863,0.84503857,0.767292863,0.792854431
1.508768575,10,1,0.112859882,0.895175007,0.850161314,0.895175007,0.694351936,0.895175007,0.7119663,0.895175007,0.614596868
1.724306943,10,1,-0.067450904,1.023057151,0.733633936,1.023057151,0.574633005,1.023057151,0.453383708,1.023057151,0.49271755
1.939845311,10,1,-0.188049336,1.150939294,0.606168716,1.150939294,0.464781718,1.150939294,0.277165147,1.150939294,0.435710279
2.155383679,10,1,-0.240439222,1.278821438,0.41925064,1.278821438,0.35339141,1.278821438,0.206809366,1.278821438,0.286539242
