z*,x/D,Run,u*,z*,RMS_u*,z*,RMS_w*,z*,RSS_uw*,z*,k*
0.052916457,2,1,-0.158627317,0.037255413,0.536826056,0.037524145,0.292301359,0.044341232,0.017521352,0.041746498,0.305958143
0.088194096,2,1,-0.180530648,0.062092356,0.505980645,0.062540241,0.3489473,0.073902054,0.013939246,0.069577496,0.323634665
0.123471734,2,1,-0.177504451,0.086929298,0.473424161,0.087556338,0.322415133,0.103462876,0.009112931,0.097408494,0.282164753
0.158749372,2,1,-0.144631354,0.11176624,0.50263082,0.112572434,0.434747488,0.133023697,0.044386602,0.125239493,0.325334569
0.21166583,2,1,-0.139269665,0.149021654,0.517208261,0.150096579,0.333331126,0.17736493,0.101464056,0.16698599,0.313391188
0.264582287,2,1,-0.093989158,0.186277067,0.523742178,0.187620723,0.455708552,0.221706162,0.079778125,0.208732488,0.351516358
0.352776383,2,1,-0.087207248,0.248369423,0.635077086,0.250160965,0.557460318,0.295608217,0.155649272,0.278309984,0.490624123
0.440970479,2,1,0,0.310461778,0.664241114,0.312701206,0.707227446,0.369510271,0.287937748,0.347887479,0.593423601
0.529164575,2,1,0.027062888,0.372554134,0.710811072,0.375241447,0.753346791,0.443412325,0.482751364,0.417464975,0.638300036
0.617358671,2,1,0.072899979,0.43464649,0.743369156,0.437781688,0.835288606,0.517314379,0.46081515,0.487042471,0.725707309
0.705552767,2,1,0.158619124,0.496738845,0.873623627,0.500321929,0.939537506,0.591216433,0.784656279,0.556619967,0.907915853
0.793746862,2,1,0.258625429,0.558831201,0.892056567,0.56286217,0.919501167,0.665118487,0.813512431,0.626197463,0.98383197
0.881940958,2,1,0.345116257,0.620923557,1,0.625402411,1,0.739020541,1,0.695774959,1
1.05832915,2,1,0.576523042,0.745108268,0.923379396,0.750482894,0.862733838,0.88682465,0.917451389,0.834929951,0.941603761
1.234717342,2,1,0.758994036,0.869292979,0.624079147,0.875563376,0.60659615,1.034628758,0.372270569,0.974084942,0.532209871
1.411105533,2,1,0.808825999,0.993477691,0.509436117,1.000643858,0.499448452,1.182432866,0.185124999,1.113239934,0.359253884
1.587493725,2,1,0.843239828,1.117662402,0.329772528,1.12572434,0.382775434,1.330236974,0.145785643,1.252394926,0.221228014
1.763881917,2,1,0.870061411,1.241847113,0.249937225,1.250804823,0.322201248,1.478041083,0.119063766,1.391549918,0.150129018
1.940270108,2,1,0.884475567,1.366031825,0.215788675,1.375885305,0.261203317,1.625845191,0.103270955,1.53070491,0.11922815
2.293046492,2,1,0.909490449,1.614401247,0.16684707,1.62604627,0.216400723,1.921453408,0.108416357,1.809014893,0.080297535
2.645822875,2,1,0.931518786,1.86277067,0.114624945,1.876207234,0.159171155,2.217061624,0.065039919,2.087324877,0.051707593
2.998599258,2,1,0.975925662,2.111140092,0.112160095,2.126368199,0.13116459,2.512669841,0.041826229,2.36563486,0.041198216
3.351375641,2,1,0.992527552,2.359509515,0.078447276,2.376529163,0.085520087,2.808278057,0.048958673,2.643944844,0.037663746
3.704152025,2,1,0.984640702,2.607878938,0.025940423,2.626690128,0.029072756,3.103886274,0.011371337,2.922254827,0.010736451
4.056928408,2,1,1,2.85624836,0.014717838,2.876851092,0.016301306,3.39949449,0.004587265,3.200564811,0.004320037
4.321510696,2,1,0.999887766,3.042525427,0,3.064471816,0,3.621200653,0,3.409297299,0
0.054122018,3,1,-0.210505375,0.035067675,0.660964678,0.034712661,0.457528086,0.042410258,0.2113866,0.038205781,0.45545306
0.090203364,3,1,-0.175155972,0.058446125,0.735846324,0.057854435,0.523071635,0.070683763,0.242103105,0.063676302,0.530862507
0.12628471,3,1,-0.151716526,0.081824576,0.734145051,0.080996209,0.572508064,0.098957268,0.277992382,0.089146823,0.554013026
0.162366055,3,1,-0.177718015,0.105203026,0.723097423,0.104137983,0.568980665,0.127230773,0.253539438,0.114617344,0.537537458
0.216488074,3,1,-0.089771268,0.140270701,0.836830298,0.138850644,0.681980583,0.16964103,0.408049602,0.152823125,0.686679627
0.270610092,3,1,-0.059130595,0.175338376,0.72644288,0.173563305,0.64507354,0.212051288,0.338112411,0.191028906,0.616213692
0.360813456,3,1,0,0.233784502,0.900309225,0.23141774,0.757551685,0.28273505,0.447966685,0.254705208,0.77585735
0.451016821,3,1,0.042983296,0.292230627,0.876379697,0.289272175,0.713382512,0.353418813,0.450298332,0.31838151,0.76617743
0.541220185,3,1,0.095242463,0.350676753,0.930504961,0.34712661,0.804525303,0.424102575,0.605519047,0.382057812,0.893276802
0.631423549,3,1,0.176784603,0.409122878,0.874860415,0.404981045,0.85900482,0.494786338,0.476137778,0.445734114,0.85184406
0.721626913,3,1,0.247054203,0.467569004,0.945788829,0.462835479,0.921541041,0.5654701,0.628763434,0.509410416,0.944430549
0.811830277,3,1,0.298147416,0.526015129,0.994620857,0.520689914,0.99098537,0.636153863,0.912230087,0.573086718,0.996227889
0.902033641,3,1,0.40279477,0.584461255,1,0.578544349,1,0.706837626,1,0.63676302,1
1.082440369,3,1,0.581799867,0.701353506,0.944939146,0.694253219,0.8184232,0.848205151,0.723537507,0.764115624,0.913938136
1.262847098,3,1,0.726032448,0.818245756,0.750929091,0.809962089,0.709903697,0.989572676,0.511112092,0.891468228,0.624524005
1.443253826,3,1,0.817379707,0.935138007,0.609198866,0.925670959,0.657248949,1.130940201,0.360460894,1.018820832,0.478405905
1.623660554,3,1,0.847690383,1.052030258,0.412404091,1.041379829,0.412457709,1.272307726,0.12552507,1.146173437,0.248497019
1.804067282,3,1,0.860237918,1.168922509,0.339809374,1.157088699,0.325397084,1.413675251,0.114291198,1.273526041,0.201040611
1.984474011,3,1,0.889310119,1.28581476,0.281404556,1.272797568,0.258383354,1.555042776,0.083379409,1.400878645,0.133501177
2.345287467,3,1,0.909908738,1.519599262,0.226681111,1.504215308,0.212793209,1.837777827,0.0833985,1.655583853,0.092719167
2.706100924,3,1,0.932136489,1.753383764,0.16734917,1.735633048,0.163297083,2.120512877,0.063493288,1.910289061,0.062286646
3.06691438,3,1,0.951229052,1.987168266,0.124272234,1.967050788,0.112273601,2.403247927,0.03774004,2.164994269,0.039862391
3.427727836,3,1,0.949259755,2.220952768,0.114291936,2.198468527,0.089387457,2.685982977,0.041326164,2.419699477,0.051860395
3.788541293,3,1,0.982321416,2.454737269,0.062829921,2.429886267,0.049703544,2.968718027,0.018476705,2.674404685,0.018029395
4.149354749,3,1,0.996781062,2.688521771,0.014843623,2.661304007,0.011205419,3.251453078,0.004105598,2.929109893,0.004015133
4.419964842,3,1,1,2.863860148,0,2.834867312,0,3.463504365,0,3.120138799,0
0.052200005,4,1,-0.19389861,0.03530737,0.69857342,0.034938302,0.590866069,0.044864916,0.28118189,0.042190491,0.595329673
0.087000008,4,1,-0.20199299,0.058845617,0.747670588,0.058230504,0.591104183,0.074774861,0.303901695,0.070317486,0.658083302
0.121800011,4,1,-0.190819562,0.082383863,0.732776049,0.081522705,0.692575114,0.104684805,0.31781183,0.09844448,0.693412121
0.156600014,4,1,-0.129095593,0.10592211,0.813016685,0.104814907,0.77056028,0.134594749,0.413397246,0.126571474,0.76206615
0.208800019,4,1,-0.105666734,0.14122948,0.865652113,0.139753209,0.768036123,0.179459666,0.549877229,0.168761966,0.825729434
0.261000024,4,1,-0.09726711,0.17653685,0.855766172,0.174691511,0.798549924,0.224324582,0.54113464,0.210952457,0.873642004
0.348000032,4,1,0,0.235382467,0.875529233,0.232922015,0.872508273,0.299099443,0.645210605,0.281269943,0.890709924
0.435000039,4,1,0.026037263,0.294228084,0.977508405,0.291152519,0.921788708,0.373874304,0.824731445,0.351587429,0.9648032
0.522000047,4,1,0.118153716,0.3530737,0.99475723,0.349383022,0.944355714,0.448649164,0.797596215,0.421904914,0.989646586
0.609000055,4,1,0.169380412,0.411919317,1,0.407613526,0.980212311,0.523424025,1,0.4922224,1
0.696000063,4,1,0.231940211,0.470764934,0.93475176,0.46584403,0.971563877,0.598198886,0.884541025,0.562539886,0.971149812
0.783000071,4,1,0.339120319,0.529610551,0.933098616,0.524074534,1,0.672973746,0.897640487,0.632857372,0.970650152
0.870000079,4,1,0.384031503,0.588456167,0.928006693,0.582305037,0.985954318,0.747748607,0.913004928,0.703174857,0.952757601
1.044000095,4,1,0.539250984,0.706147401,0.905978466,0.698766045,0.834279785,0.897298329,0.738115843,0.843809829,0.888738353
1.218000111,4,1,0.686883373,0.823838634,0.686951172,0.815227052,0.663450753,1.04684805,0.391381876,0.9844448,0.568319727
1.392000126,4,1,0.772439408,0.941529868,0.569019526,0.93168806,0.56316667,1.196397771,0.309624745,1.125079772,0.407198014
1.566000142,4,1,0.817714326,1.059221101,0.430094013,1.048149067,0.455477531,1.345947493,0.148823588,1.265714743,0.259431275
1.740000158,4,1,0.862723644,1.176912335,0.317051074,1.164610075,0.337777702,1.495497214,0.091880079,1.406349715,0.183465745
1.914000174,4,1,0.878781194,1.294603568,0.265241276,1.281071082,0.282899216,1.645046936,0.079891386,1.546984686,0.134696046
2.262000205,4,1,0.91143788,1.529986035,0.187265249,1.513993097,0.208537688,1.944146379,0.051687648,1.828254629,0.077962132
2.610000237,4,1,0.933020512,1.765368502,0.138426206,1.746915112,0.149187553,2.243245821,0.042303002,2.109524572,0.05124897
2.958000268,4,1,0.965831609,2.000750969,0.090494198,1.979837127,0.099723817,2.542345264,0.027815533,2.390794515,0.029043093
3.3060003,4,1,0.943860623,2.236133436,0.06521401,2.212759142,0.065647935,2.841444707,0.021509772,2.672064458,0.038128667
3.654000332,4,1,0.985492494,2.471515903,0.013350709,2.445681157,0.024114274,3.14054415,0.001852615,2.953334401,0.008409038
4.002000363,4,1,0.99489413,2.706898369,0.005510078,2.678603172,0.01504271,3.439643593,0.001434176,3.234604344,0.002084928
4.263000387,4,1,1,2.88343522,0,2.853294683,0,3.663968175,0,3.445556801,0
