z/z2,Horizontal Distance ( Multiple of D),Run,RMS_udefect
0.044563,2,1,0.215269
0.074271,2,1,0.277996
0.103979,2,1,0.28865
0.133688,2,1,0.331262
0.17825,2,1,0.343012
0.222813,2,1,0.381058
0.297084,2,1,0.509333
0.371355,2,1,0.601498
0.445626,2,1,0.673528
0.519897,2,1,0.739539
0.594168,2,1,0.823843
0.668439,2,1,0.902619
0.74271,2,1,1
0.891252,2,1,0.94141
1.039794,2,1,0.614014
1.188336,2,1,0.367406
1.336879,2,1,0.206621
1.485421,2,1,0.10968
1.633963,2,1,0.070925
1.931047,2,1,0.025955
2.228131,2,1,0.002615
2.525215,2,1,-0.00891
2.822299,2,1,-0.03996
3.119383,2,1,-0.063
3.416467,2,1,-0.08901
3.63928,2,1,-0.09562
0.065409,2,2,0.925838
0.109016,2,2,0.921533
0.152622,2,2,0.971142
0.196228,2,2,0.937267
0.261637,2,2,0.999999
0.327047,2,2,0.913797
0.436062,2,2,0.887964
0.545078,2,2,0.882882
0.654094,2,2,0.884734
0.763109,2,2,0.699321
0.872125,2,2,0.685636
0.98114,2,2,0.521379
1.090156,2,2,0.39777
1.308187,2,2,0.01417
1.526218,2,2,-0.24935
1.744249,2,2,-0.28782
1.962281,2,2,-0.27335
2.180312,2,2,-0.24539
2.398343,2,2,-0.28457
2.834405,2,2,-0.26325
3.270468,2,2,-0.22883
3.70653,2,2,-0.30914
4.142592,2,2,-0.21176
4.578655,2,2,-0.17892
5.014717,2,2,-0.16952
5.341764,2,2,-0.18032
0.028057,2,3,-0.03773
0.046761,2,3,-0.01596
0.065466,2,3,-0.02452
0.08417,2,3,-0.03146
0.112227,2,3,0.004118
0.140284,2,3,-0.0976
0.187045,2,3,-0.01614
0.233807,2,3,0.019965
0.280568,2,3,0.074831
0.327329,2,3,0.107009
0.37409,2,3,0.125006
0.420852,2,3,0.187064
0.467613,2,3,0.226178
0.561136,2,3,0.384872
0.654658,2,3,0.542583
0.748181,2,3,0.853414
0.841704,2,3,0.996052
0.935226,2,3,0.790591
1.028749,2,3,0.368146
1.215794,2,3,0.12551
1.402839,2,3,0.07606
1.589885,2,3,0.060212
1.77693,2,3,0.047891
1.963975,2,3,0.017945
2.15102,2,3,0.007393
2.291304,2,3,0.003565
0.02824,2,4,0.328982
0.047066,2,4,0.333852
0.065892,2,4,0.302284
0.084719,2,4,0.275971
0.112958,2,4,0.295494
0.141198,2,4,0.297881
0.188264,2,4,0.278979
0.23533,2,4,0.280742
0.282395,2,4,0.359413
0.329461,2,4,0.379327
0.376527,2,4,0.33367
0.423593,2,4,0.365988
0.470659,2,4,0.459534
0.564791,2,4,0.497743
0.658923,2,4,0.696212
0.753055,2,4,0.96622
0.847186,2,4,1
0.941318,2,4,0.877942
1.03545,2,4,0.55152
1.223714,2,4,0.202602
1.411977,2,4,0.116432
1.600241,2,4,0.082017
1.788505,2,4,0.155937
1.976768,2,4,0.140341
2.165032,2,4,0.136053
2.30623,2,4,0.127991
0.043007,3,1,0.581766
0.071678,3,1,0.637196
0.10035,3,1,0.653172
0.129021,3,1,0.694952
0.172028,3,1,0.747159
0.215035,3,1,0.755145
0.286714,3,1,0.815919
0.358392,3,1,0.856408
0.430071,3,1,0.898238
0.501749,3,1,0.912955
0.573427,3,1,0.951681
0.645106,3,1,0.985785
0.716784,3,1,1
0.860141,3,1,0.970224
1.003498,3,1,0.709357
1.146855,3,1,0.454476
1.290212,3,1,0.277284
1.433568,3,1,0.184835
1.576925,3,1,0.110107
1.863639,3,1,0.055328
2.150353,3,1,0.023133
2.437066,3,1,-0.01554
2.72378,3,1,-0.04542
3.010494,3,1,-0.06586
3.297207,3,1,-0.14549
3.512243,3,1,-0.15198
0.075894,3,2,0.999997
0.126489,3,2,0.984697
0.177085,3,2,0.966391
0.227681,3,2,0.970299
0.303575,3,2,0.985218
0.379468,3,2,0.936912
0.505958,3,2,0.871026
0.632447,3,2,0.831196
0.758936,3,2,0.7845
0.885426,3,2,0.638763
1.011915,3,2,0.485572
1.138405,3,2,0.429012
1.264894,3,2,0.299115
1.517873,3,2,0.028033
1.770852,3,2,-0.209
2.023831,3,2,-0.27853
2.276809,3,2,-0.29297
2.529788,3,2,-0.27735
2.782767,3,2,-0.30725
3.288725,3,2,-0.27888
3.794682,3,2,-0.26034
4.30064,3,2,-0.24394
4.806598,3,2,-0.31465
5.312555,3,2,-0.20405
5.818513,3,2,-0.19645
6.197981,3,2,-0.20001
0.025915,3,3,0.054384
0.043192,3,3,0.122945
0.060468,3,3,0.162433
0.077745,3,3,0.111515
0.10366,3,3,0.150245
0.129575,3,3,0.213444
