z/z2,Horizontal Distance ( Multiple of D),Run,RMS_wdefect
0.044563,2,1,0.220625
0.074271,2,1,0.25198
0.103979,2,1,0.274424
0.133688,2,1,0.335984
0.17825,2,1,0.380546
0.222813,2,1,0.414919
0.297084,2,1,0.496888
0.371355,2,1,0.599357
0.445626,2,1,0.715207
0.519897,2,1,0.807588
0.594168,2,1,0.878598
0.668439,2,1,0.959701
0.74271,2,1,1
0.891252,2,1,0.843797
1.039794,2,1,0.547483
1.188336,2,1,0.38144
1.336879,2,1,0.290244
1.485421,2,1,0.226507
1.633963,2,1,0.190196
1.931047,2,1,0.132672
2.228131,2,1,0.099794
2.525215,2,1,0.098423
2.822299,2,1,0.069292
3.119383,2,1,0.031538
3.416467,2,1,0.017171
3.63928,2,1,0.008627
0.04805,2,2,0.172849
0.080083,2,2,0.214144
0.112117,2,2,0.30664
0.14415,2,2,0.356696
0.1922,2,2,0.298039
0.24025,2,2,0.376176
0.320333,2,2,0.480658
0.400416,2,2,0.530474
0.4805,2,2,0.501613
0.560583,2,2,0.780435
0.640666,2,2,0.891508
0.72075,2,2,1
0.800833,2,2,0.987018
0.960999,2,2,0.807965
1.121166,2,2,0.496413
1.281333,2,2,0.335911
1.441499,2,2,0.25879
1.601666,2,2,0.184038
1.761832,2,2,0.159125
2.082165,2,2,0.084426
2.402499,2,2,0.142135
2.722832,2,2,0.13191
3.043165,2,2,0.062407
3.363498,2,2,0.065788
3.683831,2,2,0.043551
3.924081,2,2,0.02715
0.028057,2,3,0.150196
0.046761,2,3,0.188606
0.065466,2,3,0.213588
0.08417,2,3,0.185089
0.112227,2,3,0.259289
0.140284,2,3,0.266852
0.187045,2,3,0.307899
0.233807,2,3,0.326497
0.280568,2,3,0.401462
0.327329,2,3,0.431449
0.37409,2,3,0.411796
0.420852,2,3,0.547455
0.467613,2,3,0.556869
0.561136,2,3,0.721996
0.654658,2,3,0.86309
0.748181,2,3,1
0.841704,2,3,0.96056
0.935226,2,3,0.852105
1.028749,2,3,0.574045
1.215794,2,3,0.388467
1.402839,2,3,0.254955
1.589885,2,3,0.153264
1.77693,2,3,0.112294
1.963975,2,3,0.090285
2.15102,2,3,0.03057
2.291304,2,3,0.009724
0.02824,2,4,0.190616
0.047066,2,4,0.153129
0.065892,2,4,0.184423
0.084719,2,4,0.186146
0.112958,2,4,0.220715
0.141198,2,4,0.22693
0.188264,2,4,0.274287
0.23533,2,4,0.275055
0.282395,2,4,0.352208
0.329461,2,4,0.418765
0.376527,2,4,0.412234
0.423593,2,4,0.470644
0.470659,2,4,0.417714
0.564791,2,4,0.574999
0.658923,2,4,0.730234
0.753055,2,4,1
0.847186,2,4,0.956335
0.941318,2,4,0.839535
1.03545,2,4,0.627033
1.223714,2,4,0.411897
1.411977,2,4,0.248755
1.600241,2,4,0.179268
1.788505,2,4,0.15764
1.976768,2,4,0.115732
2.165032,2,4,0.083959
2.30623,2,4,0.080114
0.043007,3,1,0.410424
0.071678,3,1,0.466443
0.10035,3,1,0.489246
0.129021,3,1,0.527529
0.172028,3,1,0.570868
0.215035,3,1,0.619001
0.286714,3,1,0.689613
0.358392,3,1,0.75995
0.430071,3,1,0.808421
0.501749,3,1,0.884331
0.573427,3,1,0.94119
0.645106,3,1,0.985506
0.716784,3,1,1
0.860141,3,1,0.858841
1.003498,3,1,0.66856
1.146855,3,1,0.493719
1.290212,3,1,0.325219
1.433568,3,1,0.229842
1.576925,3,1,0.161456
1.863639,3,1,0.124968
2.150353,3,1,0.097476
2.437066,3,1,0.065723
2.72378,3,1,0.060631
3.010494,3,1,0.024902
3.297207,3,1,-0.00503
3.512243,3,1,-0.00875
0.047722,3,2,0.439088
0.079537,3,2,0.604149
0.111351,3,2,0.510991
0.143166,3,2,0.655358
0.190888,3,2,0.700023
0.23861,3,2,0.735261
0.318147,3,2,0.705322
0.397684,3,2,0.728741
0.477221,3,2,0.83721
0.556757,3,2,0.875576
0.636294,3,2,0.925099
0.715831,3,2,1.000112
0.795368,3,2,0.923711
0.954441,3,2,0.803664
1.113515,3,2,0.525916
1.272588,3,2,0.376676
1.431662,3,2,0.268177
1.590736,3,2,0.19831
1.749809,3,2,0.127842
2.067956,3,2,0.069303
2.386103,3,2,0.096821
2.70425,3,2,0.091296
3.022398,3,2,0.052006
3.340545,3,2,0.068048
3.658692,3,2,0.037256
3.897302,3,2,0.010457
0.025915,3,3,0.344313
0.043192,3,3,0.349261
0.060468,3,3,0.385818
0.077745,3,3,0.39605
0.10366,3,3,0.432501
0.129575,3,3,0.43873
0.172767,3,3,0.607821
0.215958,3,3,0.572573
0.25915,3,3,0.619893
0.302342,3,3,0.702115
0.345534,3,3,0.719886
0.388725,3,3,0.79695
0.431917,3,3,0.8163
0.5183,3,3,0.890648
0.604684,3,3,0.945355
0.691067,3,3,0.955711
0.77745,3,3,0.999999
0.863834,3,3,0.920813
0.950217,3,3,0.706282
1.122984,3,3,0.437206
1.295751,3,3,0.312247
1.468518,3,3,0.203142
1.641284,3,3,0.126531
