z/z2,Horizontal Distance ( Multiple of D),Run,RSS_uwdefect
0.044563,2,1,-0.05458
0.074271,2,1,-0.04977
0.103979,2,1,-0.05122
0.133688,2,1,-0.03635
0.17825,2,1,-0.01811
0.222813,2,1,0.001433
0.297084,2,1,0.084353
0.371355,2,1,0.223993
0.445626,2,1,0.432676
0.519897,2,1,0.612591
0.594168,2,1,0.76106
0.668439,2,1,0.893424
0.74271,2,1,1
0.891252,2,1,0.921474
1.039794,2,1,0.345752
1.188336,2,1,0.142658
1.336879,2,1,0.104864
1.485421,2,1,0.083764
1.633963,2,1,0.072823
1.931047,2,1,0.047522
2.228131,2,1,0.041671
2.525215,2,1,0.027505
2.822299,2,1,0.022844
3.119383,2,1,0.010855
3.416467,2,1,0.001243
3.63928,2,1,-0.00393
0.04805,2,2,-0.0993
0.080083,2,2,-0.08193
0.112117,2,2,-0.09879
0.14415,2,2,0.003571
0.1922,2,2,-0.10881
0.24025,2,2,0.047884
0.320333,2,2,0.120115
0.400416,2,2,0.180056
0.4805,2,2,0.098298
0.560583,2,2,0.434968
0.640666,2,2,0.530428
0.72075,2,2,0.893008
0.800833,2,2,0.995016
0.960999,2,2,0.837528
1.121166,2,2,0.190863
1.281333,2,2,0.082536
1.441499,2,2,0.048344
1.601666,2,2,0.032632
1.761832,2,2,0.102516
2.082165,2,2,0.035341
2.402499,2,2,0.031491
2.722832,2,2,0.0216
3.043165,2,2,0.001484
3.363498,2,2,0.005038
3.683831,2,2,-0.00031
3.924081,2,2,-0.00742
0.028057,2,3,-0.03773
0.046761,2,3,-0.01596
0.065466,2,3,-0.02452
0.08417,2,3,-0.03146
0.112227,2,3,0.004118
0.140284,2,3,-0.0976
0.187045,2,3,-0.01614
0.233807,2,3,0.019965
0.280568,2,3,0.074831
0.327329,2,3,0.107009
0.37409,2,3,0.125006
0.420852,2,3,0.187064
0.467613,2,3,0.226178
0.561136,2,3,0.384872
0.654658,2,3,0.542583
0.748181,2,3,0.853414
0.841704,2,3,0.996052
0.935226,2,3,0.790591
1.028749,2,3,0.368146
1.215794,2,3,0.12551
1.402839,2,3,0.07606
1.589885,2,3,0.060212
1.77693,2,3,0.047891
1.963975,2,3,0.017945
2.15102,2,3,0.007393
2.291304,2,3,0.003565
0.02824,2,4,-0.00603
0.047066,2,4,-0.02498
0.065892,2,4,-0.01733
0.084719,2,4,0.019202
0.112958,2,4,0.012893
0.141198,2,4,0.002228
0.188264,2,4,0.003665
0.23533,2,4,0.008635
0.282395,2,4,0.029528
0.329461,2,4,0.081976
0.376527,2,4,0.078258
0.423593,2,4,0.126913
0.470659,2,4,0.040202
0.564791,2,4,0.216759
0.658923,2,4,0.428203
0.753055,2,4,1
0.847186,2,4,0.992684
0.941318,2,4,0.811208
1.03545,2,4,0.311984
1.223714,2,4,0.0468
1.411977,2,4,0.001469
1.600241,2,4,-0.01367
1.788505,2,4,0.063975
1.976768,2,4,0.059963
2.165032,2,4,0.043047
2.30623,2,4,0.040258
0.043007,3,1,0.18243
0.071678,3,1,0.213707
0.10035,3,1,0.223644
0.129021,3,1,0.233923
0.172028,3,1,0.267363
0.215035,3,1,0.285171
0.286714,3,1,0.339362
0.358392,3,1,0.404175
0.430071,3,1,0.501878
0.501749,3,1,0.584162
0.573427,3,1,0.705471
0.645106,3,1,0.904072
0.716784,3,1,1
0.860141,3,1,0.713779
1.003498,3,1,0.494658
1.146855,3,1,0.238356
1.290212,3,1,0.1196
1.433568,3,1,0.079831
1.576925,3,1,0.069751
1.863639,3,1,0.053852
2.150353,3,1,0.038708
2.437066,3,1,0.030636
2.72378,3,1,0.032359
3.010494,3,1,0.012678
3.297207,3,1,-0.00454
3.512243,3,1,-0.00913
0.047722,3,2,0.098673
0.079537,3,2,0.238673
0.111351,3,2,0.217363
0.143166,3,2,0.256934
0.190888,3,2,0.383806
0.23861,3,2,0.486461
0.318147,3,2,0.544051
0.397684,3,2,0.594382
0.477221,3,2,0.926973
0.556757,3,2,0.823355
0.636294,3,2,0.818531
0.715831,3,2,1.001754
0.795368,3,2,0.980165
0.954441,3,2,0.855569
1.113515,3,2,0.345103
1.272588,3,2,0.176506
1.431662,3,2,0.055292
1.590736,3,2,0.044782
1.749809,3,2,0.077781
2.067956,3,2,0.050115
2.386103,3,2,0.015651
2.70425,3,2,0.010432
3.022398,3,2,0.022465
3.340545,3,2,0.009193
3.658692,3,2,0.0002
3.897302,3,2,-0.0098
0.025915,3,3,0.054384
0.043192,3,3,0.122945
0.060468,3,3,0.162433
0.077745,3,3,0.111515
0.10366,3,3,0.150245
0.129575,3,3,0.213444
0.172767,3,3,0.473312
0.215958,3,3,0.303517
0.25915,3,3,0.363096
0.302342,3,3,0.490319
0.345534,3,3,0.444538
0.388725,3,3,0.604807
0.431917,3,3,0.546758
0.5183,3,3,0.702695
0.604684,3,3,0.802205
0.691067,3,3,0.847736
0.77745,3,3,1.000052
0.863834,3,3,0.86064
0.950217,3,3,0.616558
1.122984,3,3,0.212137
1.295751,3,3,0.092544
1.468518,3,3,0.038726
1.641284,3,3,0.040576
1.814051,3,3,0.023044
1.986818,3,3,0.009141
2.116393,3,3,0.004345
0.027723,3,4,0.066188
0.046206,3,4,0.114686
0.064688,3,4,0.138956
0.08317,3,4,0.124715
0.110893,3,4,0.305306
0.138617,3,4,0.187575
0.184822,3,4,0.167449
0.231028,3,4,0.331572
0.277234,3,4,0.37611
0.323439,3,4,0.351708
0.369645,3,4,0.454733
0.41585,3,4,0.488363
0.462056,3,4,0.541932
0.554467,3,4,0.662549
0.646878,3,4,0.865354
0.73929,3,4,1
0.831701,3,4,0.971678
0.924112,3,4,0.675988
1.016523,3,4,0.461672
1.201346,3,4,0.123813
1.386168,3,4,0.034185
1.57099,3,4,0.020201
1.755813,3,4,0.012516
1.940635,3,4,0.015703
2.125457,3,4,0.009176
2.264074,3,4,0.007584
0.04239,4,1,0.25842
0.07065,4,1,0.3141
0.098911,4,1,0.347056
0.127171,4,1,0.403922
0.169561,4,1,0.475445
0.211951,4,1,0.553442
0.282602,4,1,0.676797
0.353252,4,1,0.785242
0.423902,4,1,0.8533
0.494553,4,1,0.891653
0.565203,4,1,0.959423
0.635854,4,1,0.979321
0.706504,4,1,1
0.847805,4,1,0.803961
0.989106,4,1,0.516089
1.130407,4,1,0.307401
1.271707,4,1,0.1229
1.413008,4,1,0.062898
1.554309,4,1,0.054178
1.836911,4,1,0.023313
2.119512,4,1,0.018883
2.402114,4,1,0.011444
2.684715,4,1,0.013242
2.967317,4,1,-0.00474
3.249919,4,1,-0.00732
3.46187,4,1,-0.00923
0.0468,4,2,0.237229
0.078001,4,2,0.230887
0.109201,4,2,0.392101
0.140401,4,2,0.395307
0.187202,4,2,0.541924
0.234002,4,2,0.584958
0.312003,4,2,0.56005
0.390003,4,2,0.760172
0.468004,4,2,0.742076
0.546005,4,2,0.996384
0.624005,4,2,0.728213
0.702006,4,2,0.798217
0.780007,4,2,0.713573
0.936008,4,2,0.537267
1.09201,4,2,0.360219
1.248011,4,2,0.189563
1.404012,4,2,0.071674
1.560014,4,2,0.035989
1.716015,4,2,0.051951
2.028018,4,2,0.022975
2.340021,4,2,-0.00392
2.652023,4,2,0.00524
2.964026,4,2,-0.01795
3.276029,4,2,-0.0053
3.588032,4,2,-0.00966
3.822034,4,2,-0.00873
0.027435,4,3,0.122655
0.045724,4,3,0.210304
0.064014,4,3,0.191343
0.082304,4,3,0.259043
0.109738,4,3,0.224778
0.137173,4,3,0.392639
0.182897,4,3,0.44718
0.228622,4,3,0.551211
0.274346,4,3,0.489068
0.32007,4,3,0.676604
0.365795,4,3,0.614608
0.411519,4,3,0.711389
0.457243,4,3,0.725618
0.548692,4,3,0.785969
0.64014,4,3,0.998456
0.731589,4,3,0.930967
0.823038,4,3,0.890445
0.914486,4,3,0.704779
1.005935,4,3,0.484961
1.188832,4,3,0.277585
1.37173,4,3,0.11463
1.554627,4,3,0.032304
1.737524,4,3,0.037527
1.920421,4,3,0.01816
2.103319,4,3,0.008988
2.240492,4,3,0.004393
0.028123,4,4,0.188038
0.046871,4,4,0.203369
0.065619,4,4,0.265166
0.084368,4,4,0.24611
0.11249,4,4,0.30711
0.140613,4,4,0.278049
0.187484,4,4,0.330493
0.234354,4,4,0.3446
0.281225,4,4,0.484574
0.328096,4,4,0.46948
0.374967,4,4,0.630058
0.421838,4,4,0.586392
0.468709,4,4,0.563409
0.562451,4,4,0.598845
0.656193,4,4,1
0.749934,4,4,0.824049
0.843676,4,4,0.783662
0.937418,4,4,0.703266
1.03116,4,4,0.398787
1.218643,4,4,0.109124
1.406127,4,4,0.037025
1.593611,4,4,0.012428
1.781094,4,4,0.011333
1.968578,4,4,0.004878
2.156061,4,4,0.004795
2.296674,4,4,0.007117
0.047294,6,1,0.357056
0.078823,6,1,0.384189
0.110353,6,1,0.400604
0.141882,6,1,0.416586
0.189176,6,1,0.477569
0.23647,6,1,0.557936
0.315293,6,1,0.694671
0.394117,6,1,0.829585
0.47294,6,1,0.969275
0.551763,6,1,1
0.630587,6,1,0.977286
0.70941,6,1,0.923581
0.788233,6,1,0.77015
0.94588,6,1,0.580264
1.103527,6,1,0.346487
1.261173,6,1,0.197939
1.41882,6,1,0.103626
1.576467,6,1,0.066503
1.734113,6,1,0.046695
2.049406,6,1,0.028218
2.3647,6,1,0.011524
2.679993,6,1,0.00649
2.995286,6,1,-0.00697
3.31058,6,1,-0.00419
3.625873,6,1,-0.01336
3.862343,6,1,-0.00922
0.05,6,2,0.382261
0.083333,6,2,0.412478
0.116667,6,2,0.502039
0.15,6,2,0.664387
0.2,6,2,0.726625
0.25,6,2,0.77492
0.333333,6,2,0.951397
0.416667,6,2,0.918339
0.5,6,2,0.809637
0.583333,6,2,0.74495
0.666667,6,2,1.003442
0.75,6,2,0.855938
0.833333,6,2,0.783191
1,6,2,0.501201
1.166667,6,2,0.374766
1.333333,6,2,0.273692
1.5,6,2,0.069195
1.666667,6,2,0.049444
1.833333,6,2,0.064735
2.166667,6,2,0.013764
2.5,6,2,0.001268
2.833333,6,2,0.004747
3.166667,6,2,-0.0169
3.5,6,2,0.003235
3.833333,6,2,-0.00941
4.083333,6,2,-0.01057
0.025295,6,3,0.135731
0.042158,6,3,0.153187
0.059022,6,3,0.163879
0.075885,6,3,0.182408
0.10118,6,3,0.218053
0.126475,6,3,0.255381
0.168634,6,3,0.347615
0.210792,6,3,0.412642
0.252951,6,3,0.487575
0.295109,6,3,0.573278
0.337267,6,3,0.666241
0.379426,6,3,0.75619
0.421584,6,3,0.827986
0.505901,6,3,0.901686
0.590218,6,3,0.9847
0.674535,6,3,1
0.758852,6,3,0.92222
0.843169,6,3,0.827039
0.927485,6,3,0.658264
1.096119,6,3,0.290219
1.264753,6,3,0.150697
1.433386,6,3,0.060845
1.60202,6,3,0.03755
1.770654,6,3,0.01687
1.939288,6,3,0.006694
2.065763,6,3,0.003081
0.026416,6,4,0.057852
0.044026,6,4,0.066742
0.061637,6,4,0.085576
0.079247,6,4,0.111046
0.105663,6,4,0.10979
0.132078,6,4,0.140159
0.176104,6,4,0.191308
0.22013,6,4,0.292607
0.264157,6,4,0.406445
0.308183,6,4,0.508745
0.352209,6,4,0.643217
0.396235,6,4,0.779424
0.440261,6,4,0.876336
0.528313,6,4,0.983635
0.616365,6,4,1
0.704418,6,4,0.957243
0.79247,6,4,0.83792
0.880522,6,4,0.723642
0.968574,6,4,0.567397
1.144679,6,4,0.189707
1.320783,6,4,0.096002
1.496887,6,4,0.045922
1.672992,6,4,0.043219
1.849096,6,4,0.042831
2.025201,6,4,0.004375
2.157279,6,4,-0.003
0.042302,8,1,0.401956
0.070504,8,1,0.445997
0.098706,8,1,0.487968
0.126907,8,1,0.529819
0.16921,8,1,0.603265
0.211512,8,1,0.671521
0.282016,8,1,0.779746
0.35252,8,1,0.899873
0.423024,8,1,0.967451
0.493528,8,1,0.994081
0.564032,8,1,1
0.634536,8,1,0.978215
0.70504,8,1,0.902431
0.846048,8,1,0.674179
0.987055,8,1,0.512371
1.128063,8,1,0.37764
1.269071,8,1,0.227232
1.410079,8,1,0.133869
1.551087,8,1,0.06902
1.833103,8,1,0.038741
2.115119,8,1,0.005767
2.397135,8,1,-0.00316
2.679151,8,1,0.012917
2.961166,8,1,-0.00414
3.243182,8,1,-0.01149
3.454694,8,1,-0.01582
0.056092,8,2,0.343126
0.093486,8,2,0.465991
0.13088,8,2,0.442207
0.168275,8,2,0.660994
0.224366,8,2,0.577008
0.280458,8,2,0.830961
0.373944,8,2,0.840271
0.46743,8,2,0.697069
0.560915,8,2,0.999912
0.654401,8,2,0.831488
0.747887,8,2,0.921201
0.841373,8,2,0.86396
0.934859,8,2,0.801207
1.121831,8,2,0.496273
1.308803,8,2,0.360404
1.495774,8,2,0.387429
1.682746,8,2,0.156802
1.869718,8,2,0.059593
2.05669,8,2,0.066133
2.430633,8,2,0.026217
2.804577,8,2,0.002377
3.178521,8,2,0.013989
3.552464,8,2,-0.00106
3.926408,8,2,-0.00597
4.300352,8,2,-0.00479
4.580809,8,2,-0.009
0.028773,8,3,0.150751
0.047954,8,3,0.116802
0.067136,8,3,0.184749
0.086318,8,3,0.209073
0.11509,8,3,0.208761
0.143863,8,3,0.398739
0.191817,8,3,0.335306
0.239771,8,3,0.491562
0.287726,8,3,0.659113
0.33568,8,3,0.629507
0.383634,8,3,0.709885
0.431588,8,3,0.753377
0.479543,8,3,0.756957
0.575451,8,3,1.003099
0.67136,8,3,0.948098
0.767268,8,3,1.004634
0.863177,8,3,0.959499
0.959085,8,3,0.6528
1.054994,8,3,0.614395
1.246811,8,3,0.403005
1.438628,8,3,0.143133
1.630445,8,3,0.047315
1.822262,8,3,0.046886
2.014079,8,3,0.020631
2.205896,8,3,0.003955
2.349759,8,3,0.003951
0.02643,8,4,0.151394
0.044051,8,4,0.175314
0.061671,8,4,0.20766
0.079291,8,4,0.261559
0.105721,8,4,0.169579
0.132152,8,4,0.468369
0.176202,8,4,0.436486
0.220253,8,4,0.572131
0.264303,8,4,0.520178
0.308354,8,4,0.700497
0.352404,8,4,0.952853
0.396455,8,4,0.990267
0.440505,8,4,1
0.528606,8,4,0.930245
0.616707,8,4,0.853711
0.704809,8,4,0.894556
0.79291,8,4,0.863153
0.881011,8,4,0.738616
0.969112,8,4,0.543239
1.145314,8,4,0.296594
1.321516,8,4,0.146233
1.497718,8,4,0.073318
1.67392,8,4,0.012544
1.850122,8,4,0.032294
2.026325,8,4,0.01768
2.158476,8,4,0.00264
0.038365,10,1,0.216903
0.063941,10,1,0.301124
0.089518,10,1,0.356747
0.115094,10,1,0.459598
0.153459,10,1,0.539613
0.191823,10,1,0.618326
0.255764,10,1,0.737467
0.319705,10,1,0.808436
0.383646,10,1,0.867801
0.447588,10,1,0.930461
0.511529,10,1,0.965744
0.57547,10,1,1
0.639411,10,1,0.968721
0.767293,10,1,0.845039
0.895175,10,1,0.711966
1.023057,10,1,0.453384
1.150939,10,1,0.277165
1.278821,10,1,0.206809
1.406704,10,1,0.149511
1.662468,10,1,0.067165
1.918232,10,1,-0.0025
2.173996,10,1,0.008518
2.429761,10,1,0.000599
2.685525,10,1,-0.01622
2.941289,10,1,-0.02437
3.133113,10,1,-0.02195
0.040938,10,2,0.235318
0.06823,10,2,0.346229
0.095521,10,2,0.41457
0.122813,10,2,0.40285
0.163751,10,2,0.492156
0.204689,10,2,0.537747
0.272918,10,2,0.749975
0.341148,10,2,0.986388
0.409377,10,2,0.84835
0.477607,10,2,0.888968
0.545837,10,2,1.001499
0.614066,10,2,0.878449
0.682296,10,2,0.913135
0.818755,10,2,0.884969
0.955214,10,2,0.536127
1.091673,10,2,0.374641
1.228132,10,2,0.245469
1.364592,10,2,0.128945
1.501051,10,2,0.113129
1.773969,10,2,0.042733
2.046887,10,2,0.005487
2.319806,10,2,0.003387
2.592724,10,2,-0.01014
2.865642,10,2,-0.00502
3.138561,10,2,-0.00678
3.343249,10,2,-0.01147
0.02154,10,3,0.046411
0.0359,10,3,0.199689
0.05026,10,3,0.163205
0.06462,10,3,0.17496
0.08616,10,3,0.31383
0.1077,10,3,0.316845
0.1436,10,3,0.342245
0.1795,10,3,0.461661
0.2154,10,3,0.549035
0.2513,10,3,0.771681
0.2872,10,3,0.768854
0.323099,10,3,0.875861
0.358999,10,3,0.788721
0.430799,10,3,0.819325
0.502599,10,3,0.969153
0.574399,10,3,0.931928
0.646199,10,3,1.005685
0.717999,10,3,0.892691
0.789799,10,3,0.766304
0.933398,10,3,0.63595
1.076998,10,3,0.348947
1.220598,10,3,0.16937
1.364198,10,3,0.047444
1.507797,10,3,0.027793
1.651397,10,3,0.001461
1.759097,10,3,0.00126
0.023479,10,4,0.06095
0.039132,10,4,0.113819
0.054785,10,4,0.253049
0.070437,10,4,0.21253
0.093917,10,4,0.295909
0.117396,10,4,0.30709
0.156528,10,4,0.374758
0.195659,10,4,0.395684
0.234791,10,4,0.540263
0.273923,10,4,0.522678
0.313055,10,4,0.556987
0.352187,10,4,0.708306
0.391319,10,4,0.88509
0.469583,10,4,0.89352
0.547847,10,4,0.970439
0.62611,10,4,1
0.704374,10,4,0.925489
0.782638,10,4,0.825695
0.860902,10,4,0.775741
1.017429,10,4,0.465455
1.173957,10,4,0.235381
1.330485,10,4,0.125984
1.487012,10,4,0.088549
1.64354,10,4,0.055372
1.800067,10,4,0.040154
1.917463,10,4,0.01591
0.03606,12,1,0.215318
0.0601,12,1,0.244299
0.08414,12,1,0.261229
0.10818,12,1,0.269522
0.144239,12,1,0.325053
0.180299,12,1,0.385703
0.240399,12,1,0.481449
0.300499,12,1,0.607814
0.360599,12,1,0.698602
0.420698,12,1,0.778823
0.480798,12,1,0.875499
0.540898,12,1,0.967606
0.600998,12,1,1
0.721197,12,1,0.894257
0.841397,12,1,0.7107
0.961596,12,1,0.542279
1.081796,12,1,0.409936
1.201995,12,1,0.300619
1.322195,12,1,0.179381
1.562594,12,1,0.072367
1.802993,12,1,0.030629
2.043392,12,1,-0.00669
2.283791,12,1,-0.00299
2.52419,12,1,-0.00969
2.764589,12,1,-0.01954
2.944889,12,1,-0.01925
0.035596,12,2,0.323834
0.059326,12,2,0.280734
0.083056,12,2,0.308473
0.106787,12,2,0.341848
0.142383,12,2,0.321328
0.177978,12,2,0.503965
0.237304,12,2,0.529662
0.29663,12,2,0.625624
0.355956,12,2,0.632015
0.415282,12,2,0.778084
0.474608,12,2,1.003759
0.533935,12,2,0.845879
0.593261,12,2,0.84244
0.711913,12,2,0.782352
0.830565,12,2,0.796168
0.949217,12,2,0.545878
1.067869,12,2,0.394627
1.186521,12,2,0.187933
1.305173,12,2,0.233648
1.542477,12,2,0.096844
1.779782,12,2,0.010249
2.017086,12,2,0.017245
2.25439,12,2,-0.01434
2.491694,12,2,0.029765
2.728999,12,2,0.005625
2.906977,12,2,-0.00126
0.02088,12,3,0.151594
0.0348,12,3,0.080554
0.04872,12,3,0.05426
0.06264,12,3,0.17739
0.08352,12,3,0.144778
0.104399,12,3,0.300662
0.139199,12,3,0.249833
0.173999,12,3,0.351043
0.208799,12,3,0.489355
0.243599,12,3,0.370197
0.278398,12,3,0.611443
0.313198,12,3,0.612322
0.347998,12,3,0.593094
0.417598,12,3,0.834857
0.487197,12,3,0.597413
0.556797,12,3,1.004726
0.626396,12,3,0.777495
0.695996,12,3,0.869357
0.765596,12,3,0.955953
0.904795,12,3,0.605692
1.043994,12,3,0.454611
1.183193,12,3,0.195741
1.322392,12,3,0.077513
1.461591,12,3,0.062005
1.600791,12,3,0.020069
1.70519,12,3,0.007052
0.020675,12,4,0.143871
0.034458,12,4,0.222453
0.048242,12,4,0.208927
0.062025,12,4,0.225472
0.0827,12,4,0.237621
0.103375,12,4,0.255891
0.137833,12,4,0.370414
0.172291,12,4,0.453932
0.20675,12,4,0.404272
