z/D (z-axis),rss_uw/U_R2(x-axis),Avg_u/U_R(x-axis),rms_u/U_R(x-axis),rms_w/U_R(x-axis),tke/U_R2(x-axis)
0.06,0.002709864,-0.375421474,0.378136894,0.140921614,0.117831044
0.1,0.00238296,-0.428702611,0.360399642,0.155501694,0.122160099
0.14,0.001784731,-0.39827913,0.325926285,0.140216073,0.096768072
0.18,0.004311115,-0.318172441,0.338692723,0.169074833,0.109387331
0.24,0.007436526,-0.287010644,0.32477871,0.13422053,0.09351974
0.3,0.005591436,-0.177109677,0.31471181,0.157629273,0.095691562
0.4,0.009528039,-0.158162821,0.351784171,0.176815022,0.123353625
0.5,0.015833442,0.025994755,0.352088339,0.204335825,0.138191275
0.6,0.022803351,0.076415658,0.346904525,0.200936553,0.129855667
0.7,0.020482523,0.159555734,0.347874302,0.211226601,0.137803321
0.8,0.035093554,0.322600597,0.398262023,0.234473538,0.174144434
0.9,0.033471204,0.490255593,0.388490367,0.221070726,0.173193885
1,0.0390296,0.630837774,0.415444547,0.230977969,0.167483937
1.2,0.03326786,1.000650963,0.375274305,0.197378987,0.146638165
1.4,0.012728597,1.257289931,0.266752395,0.144419152,0.078497404
1.6,0.006043266,1.282002972,0.221278133,0.120319989,0.05012926
1.8,0.004547542,1.292190304,0.162190959,0.097432971,0.03057177
2,0.003515773,1.282773714,0.13392769,0.084305585,0.020524452
2.2,0.002953458,1.271809195,0.121390759,0.072930941,0.016305774
2.6,0.002749597,1.234909104,0.102136227,0.062433575,0.010923526
3,0.001619136,1.203196942,0.084463854,0.051558283,0.007479504
3.4,0.001049108,1.201598658,0.079989593,0.045511442,0.005997919
3.8,0.001128305,1.195041948,0.070573568,0.038672393,0.005478756
4.2,0.000446643,1.153836304,0.05706051,0.030602177,0.003316045
4.6,0.00032494,1.154918614,0.053799845,0.028597921,0.00278868
4.9,0.000245433,1.141482731,0.050006528,0.026289578,0.00243955
0.06,0.021662629,-0.543444254,0.407852371,0.197926816,0.164913066
0.1,0.024356656,-0.447384811,0.439709727,0.216771036,0.187725207
0.14,0.024937746,-0.365413545,0.415257432,0.219529636,0.174936304
0.18,0.022702828,-0.428665999,0.409526732,0.218029514,0.169291218
0.24,0.031958151,-0.199398072,0.431897132,0.235983102,0.188836748
0.3,0.024525925,-0.123385818,0.371222943,0.216971681,0.157181216
0.4,0.030682081,0.007941972,0.428676556,0.240245604,0.185916698
