z/D (z-axis),rss_uw/U_R2(x-axis)
0.06,0.002709864
0.1,0.00238296
0.14,0.001784731
0.18,0.004311115
0.24,0.007436526
0.3,0.005591436
0.4,0.009528039
0.5,0.015833442
0.6,0.022803351
0.7,0.020482523
0.8,0.035093554
0.9,0.033471204
1,0.0390296
1.2,0.03326786
1.4,0.012728597
1.6,0.006043266
1.8,0.004547542
2,0.003515773
2.2,0.002953458
2.6,0.002749597
3,0.001619136
3.4,0.001049108
3.8,0.001128305
4.2,0.000446643
4.6,0.00032494
4.9,0.000245433
0.06,0.021662629
0.1,0.024356656
0.14,0.024937746
0.18,0.022702828
0.24,0.031958151
0.3,0.024525925
0.4,0.030682081
0.5,0.028914601
0.6,0.033967655
0.7,0.025177822
0.8,0.033789003
0.9,0.044966543
1,0.046891694
1.2,0.031565583
1.4,0.02060821
1.6,0.013412235
1.8,0.004534806
2,0.003846297
2.2,0.002730176
2.6,0.002436804
3,0.0017226
3.4,0.000997487
3.8,0.0010302
4.2,0.000517696
4.6,0.000223182
4.9,0.000139945
0.06,0.029027708
0.1,0.030868699
0.14,0.028862956
0.18,0.037174867
0.24,0.043514555
0.3,0.039525802
0.4,0.044629779
0.5,0.053347633
0.6,0.045272894
0.7,0.053227229
0.8,0.048072984
0.9,0.044904517
1,0.043472369
1.2,0.032672747
1.4,0.016093108
1.6,0.011740041
1.8,0.005421945
2,0.0031974
2.2,0.002676932
2.6,0.001620737
3,0.001236195
3.4,0.000799628
3.8,0.000629677
4.2,0.000196776
4.6,0.000182946
4.9,0.000151076
0.06,0.044316673
0.1,0.035811387
0.14,0.043655212
0.18,0.045133841
0.24,0.05600918
0.3,0.044295822
0.4,0.054718053
0.5,0.072518366
0.6,0.048155234
0.7,0.059181095
0.8,0.052713147
0.9,0.051272018
1,0.038745265
1.2,0.029152165
1.4,0.016726881
1.6,0.009679503
1.8,0.005535907
2,0.003702416
2.2,0.001808451
2.6,0.002086054
3,0.001135441
3.4,0.000732509
3.8,0.000230811
4.2,0.000190099
4.6,3.08E-05
4.9,0.000117388
0.06,0.033985579
0.1,0.044273131
0.14,0.042155659
0.18,0.031862739
0.24,0.04620741
0.3,0.042492227
0.4,0.058011295
0.5,0.049236334
0.6,0.055844426
0.7,0.046760712
0.8,0.050488301
0.9,0.045352542
1,0.032138644
1.2,0.028121903
1.4,0.012914489
1.6,0.014099681
1.8,0.008584414
2,0.005183768
2.2,0.003085017
2.6,0.001990097
3,0.000961581
3.4,0.000519306
3.8,0.000626558
4.2,0.000206418
4.6,0.000110206
4.9,3.94E-05
0.06,0.021772992
0.1,0.026519413
0.14,0.028208018
0.18,0.034488328
0.24,0.028332184
0.3,0.038109293
0.4,0.034591835
0.5,0.04197873
0.6,0.037169604
0.7,0.035894147
0.8,0.037934833
0.9,0.032268997
1,0.02864471
1.2,0.030121364
1.4,0.016976118
1.6,0.012262493
1.8,0.011129344
2,0.007948877
2.2,0.002973389
2.6,0.002329755
3,0.000796606
3.4,0.000711199
3.8,0.000395887
4.2,5.36E-05
4.6,-2.29E-05
4.9,1.34E-05
0.06,0.020061682
0.1,0.020878485
0.14,0.023644783
0.18,0.019154211
0.24,0.02948256
0.3,0.018380645
0.4,0.025215065
0.5,0.031565734
0.6,0.030872929
0.7,0.02796025
0.8,0.034734648
0.9,0.03126057
1,0.031965972
1.2,0.025087066
1.4,0.020902372
1.6,0.012424736
1.8,0.01044364
2,0.007354593
2.2,0.004097444
2.6,0.00189997
3,0.001299335
3.4,0.00048902
3.8,0.000347904
4.2,0.000158967
