z/h (z-axis),Avg_u/Umax (x-axis)
0.01,-0.144148886
0.016666667,-0.165778509
0.023333333,-0.162790128
0.03,-0.13032782
0.04,-0.125033132
0.05,-0.080318458
0.066666667,-0.073621296
0.083333333,0.012496193
0.1,0.039220898
0.116666667,0.0844852
0.133333333,0.169133182
0.15,0.267889789
0.166666667,0.353299811
0.2,0.581814892
0.233333333,0.762005693
0.266666667,0.811214946
0.3,0.845198733
0.333333333,0.871685149
0.366666667,0.885919183
0.433333333,0.910621474
0.5,0.93237454
0.566666667,0.976226499
0.633333333,0.992620929
0.7,0.984832635
0.766666667,1
0.816666667,0.999889169
0.01,-0.206085655
0.016666667,-0.170865317
0.023333333,-0.147511452
0.03,-0.173418007
0.04,-0.085792366
0.05,-0.055263565
0.066666667,0.003651136
0.083333333,0.046477494
0.1,0.098545855
0.116666667,0.179790274
0.133333333,0.24980331
0.15,0.300709975
0.166666667,0.404975247
0.2,0.583326772
0.233333333,0.727032741
0.266666667,0.818046479
0.3,0.848246486
0.333333333,0.860748208
0.366666667,0.889714263
0.433333333,0.910237674
0.5,0.932384267
0.566666667,0.951407121
0.633333333,0.949445014
0.7,0.982385963
0.766666667,0.996792815
0.816666667,1
0.01,-0.156030032
0.016666667,-0.163867671
0.023333333,-0.153048646
0.03,-0.093282465
0.04,-0.070596732
0.05,-0.062463531
0.066666667,0.03171842
0.083333333,0.056929823
0.1,0.146124487
0.116666667,0.195726353
0.133333333,0.256301854
0.15,0.360082378
0.166666667,0.40356905
0.2,0.553865215
0.233333333,0.696814938
0.266666667,0.77965727
0.3,0.82349614
0.333333333,0.867077833
0.366666667,0.882626063
0.433333333,0.914246931
0.5,0.935144995
0.566666667,0.966915376
0.633333333,0.945641275
0.7,0.985952649
0.766666667,0.99505608
0.816666667,1
0.01,-0.040596922
0.016666667,-0.039728712
0.023333333,-0.02107888
0.03,-0.008175599
0.04,0.000603775
0.05,0.067390679
0.066666667,0.099978804
0.083333333,0.144670899
0.1,0.197375116
0.116666667,0.26363153
0.133333333,0.331114078
0.15,0.390927481
0.166666667,0.469111109
0.2,0.563176278
0.233333333,0.646707305
0.266666667,0.711161437
0.3,0.778543897
0.333333333,0.815075141
0.366666667,0.847875111
0.433333333,0.872963833
0.5,0.918568194
0.566666667,0.9381708
0.633333333,0.990574564
0.7,0.980539998
0.766666667,0.992386901
0.816666667,1
0.01,0.095204026
0.016666667,0.117879873
0.023333333,0.126343814
0.03,0.11127944
0.04,0.164064888
0.05,0.172443276
0.066666667,0.209037992
0.083333333,0.254364013
0.1,0.29247033
0.116666667,0.328198204
0.133333333,0.380462159
0.15,0.405545118
0.166666667,0.47684152
0.2,0.527325551
0.233333333,0.634545126
0.266666667,0.679824922
0.3,0.741752564
0.333333333,0.764530887
0.366666667,0.792414917
0.433333333,0.849598487
0.5,0.889592981
0.566666667,0.940365027
0.633333333,1
0.7,0.989927532
0.766666667,0.999137248
0.816666667,0.993185738
0.01,0.239507964
0.016666667,0.22559543
0.023333333,0.254315617
0.03,0.235885735
0.04,0.28620081
0.05,0.25187831
0.066666667,0.289115746
0.083333333,0.319532352
0.1,0.338576648
0.116666667,0.401068361
0.133333333,0.423952344
0.15,0.457951439
0.166666667,0.480377678
0.2,0.56943096
0.233333333,0.612643602
0.266666667,0.679888502
0.3,0.69245085
0.333333333,0.76654821
0.366666667,0.802643048
0.433333333,0.85683442
0.5,0.893312514
0.566666667,0.923081251
0.633333333,0.943055554
0.7,0.972557235
0.766666667,0.993584858
0.816666667,1
0.01,0.322449602
0.016666667,0.325082046
0.023333333,0.335723283
0.03,0.339088621
0.04,0.338811681
0.05,0.339620124
0.066666667,0.385820989
0.083333333,0.395309934
0.1,0.420241256
0.116666667,0.448042336
0.133333333,0.452630428
0.15,0.485494695
0.166666667,0.514755319
0.2,0.573678781
0.233333333,0.629444973
0.266666667,0.694042171
0.3,0.72185735
0.333333333,0.776949417
0.366666667,0.810304931
0.433333333,0.865637894
0.5,0.912105735
0.566666667,0.943054177
0.633333333,0.947113727
0.7,0.983756314
0.766666667,0.996833332
0.816666667,1
0.01,-0.129433798
0.016666667,-0.121457272
0.023333333,-0.125734807
0.03,-0.09698372
0.04,-0.11649606
0.05,-0.057183328
0.066666667,-0.029864133
0.083333333,-0.003098466
0.1,0.013814356
0.116666667,0.125520183
0.133333333,0.14888811
0.15,0.267575531
0.166666667,0.358615629
0.2,0.600227526
0.233333333,0.767731468
0.266666667,0.816362552
0.3,0.828905004
0.333333333,0.846029744
0.366666667,0.870065764
0.433333333,0.897689587
0.5,0.909130372
0.566666667,0.986234627
0.633333333,0.952591185
0.7,0.970677049
0.766666667,0.985511114
0.816666667,1
0.01,-0.142764785
0.016666667,-0.128878486
0.023333333,-0.094129517
0.03,-0.087421172
0.04,-0.078556114
