z/h (z-axis),rms_u/k^0.5 (x-axis)
0.01,1.669605688
0.0166667,1.610162027
0.0233333,1.50773426
0.03,1.573639135
0.04,1.611866703
0.05,1.604381715
0.0666667,1.840204448
0.0833333,1.963552023
0.1,2.090841615
0.1166667,2.142669434
0.1333333,2.568355397
0.15,2.575342664
0.1666667,2.819914884
0.2,2.766997594
0.2333333,2.054948669
0.2666667,1.831871292
0.3,1.453738045
0.3333333,1.310666517
0.3666667,1.211113319
0.4333333,1.101979942
0.5,1.063567662
0.5666667,1.147705813
0.6333333,1.159953185
0.7,0.916385118
0.7666667,0.88387311
0.8166667,0.865903849
0.01,1.800809835
0.0166667,1.964496696
0.0233333,1.920979948
0.03,1.902749158
0.04,2.143492124
0.05,1.892472047
0.0666667,2.242433201
0.0833333,2.265072271
0.1,2.40678776
0.1166667,2.267990451
0.1333333,2.554793811
0.15,2.626011334
0.1666667,2.635144988
0.2,2.631916881
0.2333333,2.195658235
0.2666667,1.92732518
0.3,1.53490892
0.3333333,1.425564796
0.3666667,1.26768597
0.4333333,1.151374398
0.5,1.105730943
0.5666667,1.065271276
0.6333333,1.158153093
0.7,0.927552754
0.7666667,0.772009217
0.8166667,0.751667879
0.01,2.014316965
0.0166667,2.134032467
0.0233333,2.057754457
0.03,2.239174211
0.04,2.365464142
0.05,2.312525977
0.0666667,2.354988393
0.0833333,2.660965801
0.1,2.7328579
0.1166667,2.718959461
0.1333333,2.719189143
0.15,2.677974526
0.1666667,2.663369235
0.2,2.732427605
0.2333333,2.1978048
0.2666667,1.962363645
0.3,1.68545876
0.3333333,1.454983873
0.3666667,1.302814275
0.4333333,1.109196037
0.5,1.077631991
0.5666667,1.00671545
0.6333333,1.030764606
0.7,0.790501997
0.7666667,0.76823887
0.8166667,0.779214054
0.01,2.058532345
0.0166667,1.9005915
0.0233333,2.06714964
0.03,2.181729571
0.04,2.276750535
0.05,2.239938185
0.0666667,2.354245567
0.0833333,2.633160377
0.1,2.563573927
0.1166667,2.616339113
0.1333333,2.787509741
0.15,2.741029261
0.1666667,2.569765139
0.2,2.559657376
0.2333333,2.201863261
0.2666667,1.861641367
0.3,1.584776848
0.3333333,1.440887447
0.3666667,1.284940252
0.4333333,1.246505025
0.5,1.195094147
0.5666667,1.155375508
0.6333333,1.175884217
0.7,0.939778246
0.7666667,0.841637204
0.8166667,0.829306107
0.01,1.998450059
0.0166667,2.12489161
0.0233333,2.054286447
0.03,2.037082036
0.04,2.083261298
0.05,2.209446096
0.0666667,2.299478478
0.0833333,2.370125643
0.1,2.523382428
0.1166667,2.451170204
0.1333333,2.658755656
0.15,2.543884834
0.1666667,2.448303854
0.2,2.543402893
0.2333333,2.090024189
0.2666667,1.924601333
0.3,1.758962466
0.3333333,1.628867928
0.3666667,1.383323966
0.4333333,1.192553891
0.5,1.179110029
0.5666667,1.15478271
0.6333333,1.313122987
0.7,1.004987572
0.7666667,0.918924807
0.8166667,0.896998924
0.01,1.824848256
0.0166667,1.921674028
0.0233333,1.883805371
0.03,2.002585688
0.04,1.949748672
0.05,1.926483234
0.0666667,1.993196364
0.0833333,2.13411917
0.1,2.298625877
0.1166667,2.22124392
0.1333333,2.326463969
0.15,2.369689107
0.1666667,2.280709763
0.2,2.412313625
0.2333333,2.177427967
0.2666667,2.06155035
0.3,2.065988314
0.3333333,1.863266154
0.3666667,1.357044552
0.4333333,1.280575979
0.5,1.234042045
0.5666667,1.237359656
0.6333333,1.524102177
0.7,1.118724447
0.7666667,0.965563378
0.8166667,0.95454669
0.01,1.749254409
0.0166667,1.799151275
0.0233333,1.779345306
0.03,1.812400537
0.04,1.850037969
0.05,1.704929084
0.0666667,1.932223687
0.0833333,2.018442234
0.1,2.058353403
0.1166667,1.96270983
0.1333333,2.217425539
0.15,2.326281425
0.1666667,2.270166381
0.2,2.322327289
0.2333333,2.173480403
0.2666667,1.964682239
0.3,1.862586763
0.3333333,1.835155716
0.3666667,1.469637726
0.4333333,1.193840012
0.5,1.141706921
0.5666667,1.013001674
0.6333333,1.075227372
0.7,0.896844082
0.7666667,0.840425699
0.8166667,0.84162664
0.01,1.451197315
0.0166667,1.360283735
0.0233333,1.376574551
0.03,1.396306447
0.04,1.33905335
0.05,1.515619177
0.0666667,1.682028092
0.0833333,1.590561777
0.1,1.642938513
0.1166667,2.039953741
0.1333333,2.177107965
0.15,2.4113231
0.1666667,2.537136112
0.2,2.424110878
0.2333333,1.493764252
0.2666667,1.170566672
0.3333333,1.010184794
0.3666667,1.006032407
0.4333333,0.830989881
0.5,0.945474277
0.5666667,1.251773679
0.7,1.007159469
0.7666667,0.925826375
0.8166667,0.898003519
0.01,1.606228097
0.0166667,1.670890808
0.0233333,1.683720259
0.03,1.772427007
0.04,1.805003262
0.05,2.013036534
0.0666667,2.273620046
0.0833333,1.925113142
0.1,2.229626543
0.1166667,2.232792117
0.1333333,2.221142364
0.15,2.439056773
0.1666667,2.270297784
0.2,2.267697637
0.2333333,1.770662648
0.2666667,1.477021674
0.3333333,1.132154359
0.3666667,0.993167012
0.4333333,0.883009851
