z/h (z-axis),rms_w/k^0.5 (x-axis)
0.01,0.622217856
0.016666667,0.69473688
0.023333333,0.648639239
0.03,0.785557989
0.04,0.666132342
0.05,0.803584471
0.066666667,0.924930161
0.083333333,1.139554987
0.1,1.211072432
0.116666667,1.301012399
0.133333333,1.512098423
0.15,1.465500619
0.166666667,1.567810234
0.2,1.455327939
0.233333333,1.112544631
0.266666667,0.99608005
0.3,0.873304021
0.333333333,0.825046024
0.366666667,0.727630626
0.433333333,0.673615514
0.5,0.649221181
0.566666667,0.653006773
0.633333333,0.635622751
0.7,0.491467374
0.766666667,0.469832824
0.816666667,0.455225496
0.01,0.87391562
0.016666667,0.968470694
0.023333333,1.015543604
0.03,1.013011951
0.04,1.171176846
0.05,1.106108468
0.066666667,1.256739402
0.083333333,1.23614097
0.1,1.379077565
0.116666667,1.441769232
0.133333333,1.616461338
0.15,1.694894874
0.166666667,1.70628967
0.2,1.510308233
0.233333333,1.349094563
0.266666667,1.306341775
0.3,0.967653232
0.333333333,0.867218371
0.366666667,0.747836509
0.433333333,0.684293304
0.5,0.663905448
0.566666667,0.613939099
0.633333333,0.633801465
0.7,0.513492415
0.766666667,0.430569837
0.816666667,0.422129245
0.01,1.067526357
0.016666667,1.072892553
0.023333333,1.192460954
0.03,1.304049314
0.04,1.306194236
0.05,1.33113537
0.066666667,1.433103378
0.083333333,1.549814616
0.1,1.601401003
0.116666667,1.637684125
0.133333333,1.718659193
0.15,1.737562384
0.166666667,1.714900328
0.2,1.557420069
0.233333333,1.29361642
0.266666667,1.169915705
0.3,1.043627493
0.333333333,0.888032797
0.366666667,0.786359002
0.433333333,0.669305295
0.5,0.624533936
0.566666667,0.571175218
0.633333333,0.556923526
0.7,0.433314653
0.766666667,0.415757944
0.816666667,0.396527429
0.01,1.263305559
0.016666667,1.225286894
0.023333333,1.389054809
0.03,1.300507228
0.04,1.417680647
0.05,1.455952349
0.066666667,1.551383452
0.083333333,1.682350985
0.1,1.679786442
0.116666667,1.701139032
0.133333333,1.687081483
0.15,1.655404758
0.166666667,1.59034254
0.2,1.531838996
0.233333333,1.34970325
0.266666667,1.124534613
0.3,0.987955895
0.333333333,0.917111539
0.366666667,0.799441524
0.433333333,0.727115611
0.5,0.66733291
0.566666667,0.636239785
0.633333333,0.627800605
0.7,0.480692499
0.766666667,0.432867146
0.816666667,0.419592967
0.01,1.218149045
0.016666667,1.344683885
0.023333333,1.378731226
0.03,1.292081619
0.04,1.412083959
0.05,1.431932593
0.066666667,1.514257266
0.083333333,1.54223548
0.1,1.654514081
0.116666667,1.584119612
0.133333333,1.638531448
0.15,1.627339647
0.166666667,1.474966984
0.2,1.557161946
0.233333333,1.255523953
0.266666667,1.22990753
0.3,1.032517169
0.333333333,0.930274222
0.366666667,0.818072573
0.433333333,0.71371277
0.5,0.688487873
0.566666667,0.655852499
0.633333333,0.657982806
0.7,0.497251271
0.766666667,0.464401683
0.816666667,0.430393567
0.01,1.009817007
0.016666667,1.110798286
0.023333333,1.209418503
0.03,1.259002697
0.04,1.233729102
0.05,1.356962416
0.066666667,1.370337289
0.083333333,1.401201023
0.1,1.444304757
0.116666667,1.396552427
0.133333333,1.48441808
0.15,1.518558386
0.166666667,1.444297176
0.2,1.42634879
0.233333333,1.253066395
0.266666667,1.147470943
0.3,1.182237043
0.333333333,1.094501565
0.366666667,0.818737692
0.433333333,0.729915374
0.5,0.668904878
0.566666667,0.643976532
0.633333333,0.636190404
0.7,0.550889907
0.766666667,0.465936707
0.816666667,0.44088587
0.01,0.958653239
0.016666667,0.967643036
0.023333333,0.983382677
0.03,1.095481146
0.04,1.143051921
0.05,1.109908673
0.066666667,1.190598946
0.083333333,1.292279217
0.1,1.311755261
0.116666667,1.284763285
0.133333333,1.432773804
0.15,1.352914801
0.166666667,1.419414781
0.2,1.350649671
0.233333333,1.284218166
0.266666667,1.121715485
0.3,1.12403502
0.333333333,1.066420595
0.366666667,0.889398589
0.433333333,0.71154348
0.5,0.662122878
0.566666667,0.606758959
0.633333333,0.567451545
0.7,0.460508037
0.766666667,0.408223542
0.816666667,0.385534884
0.01,0.483840962
0.016666667,0.501730548
0.023333333,0.559353501
0.03,0.607048629
0.04,0.562383288
0.05,0.670524176
0.066666667,0.824013501
0.083333333,0.818833088
0.1,0.815786024
0.116666667,1.05197376
0.133333333,1.1254591
0.15,1.256341234
0.166666667,1.220008583
0.2,1.114534698
0.233333333,0.856273164
0.266666667,0.72565477
0.333333333,0.595912275
0.366666667,0.608309132
0.433333333,0.519576517
0.5,0.576731637
0.566666667,0.664282893
0.7,0.547151369
0.766666667,0.501013215
0.816666667,0.483551663
0.01,0.721002324
0.016666667,0.855159301
