z/h (z-axis),rss_uw_rss_uwmax (x-axis)
0.01,0.032635207
0.0166667,0.029108206
0.0233333,0.024356136
0.03,0.059087179
0.04,0.115286587
0.05,0.09393426
0.0666667,0.168638251
0.0833333,0.298891682
0.1,0.490708403
0.1166667,0.469109642
0.1333333,0.787968997
0.15,0.816381242
0.1666667,1
0.2,0.918721267
0.2333333,0.381927178
0.2666667,0.197660541
0.3,0.158926358
0.3333333,0.132615554
0.3666667,0.11706569
0.4333333,0.122131939
0.5,0.079422777
0.5666667,0.056566193
0.6333333,0.063588916
0.7,0.0265798
0.7666667,0.019900091
0.8166667,0.015383393
0.01,0.217144171
0.0166667,0.247636419
0.0233333,0.283263672
0.03,0.258989257
0.04,0.412371361
0.05,0.342944772
0.0666667,0.451997013
0.0833333,0.454311637
0.1,0.608399104
0.1166667,0.479962432
0.1333333,0.631473788
0.15,0.912870884
0.1666667,1
0.2,0.725555926
0.2333333,0.514681403
0.2666667,0.365130091
0.3,0.131909505
0.3333333,0.120757651
0.3666667,0.090071545
0.4333333,0.090090496
0.5,0.07033061
0.5666667,0.044765384
0.6333333,0.048325326
0.7,0.025642687
0.7666667,0.011376503
0.8166667,0.007300879
0.01,0.286765443
0.0166667,0.309308767
0.0233333,0.323110852
0.03,0.417953792
0.04,0.553373641
0.05,0.544698962
0.0666667,0.647966497
0.0833333,0.826092876
0.1,0.799168423
0.1166667,1
0.1333333,0.885437874
0.15,0.898435584
0.1666667,0.913680678
0.2,0.740150076
0.2333333,0.39610943
0.2666667,0.314987362
0.3,0.155435258
0.3333333,0.098934068
0.3666667,0.0870385
0.4333333,0.05905384
0.5,0.04974209
0.5666667,0.035367156
0.6333333,0.029110376
0.7,0.009605909
0.7666667,0.00919072
0.8166667,0.007767685
0.01,0.389869698
0.0166667,0.31954595
0.0233333,0.435196206
0.03,0.451876142
0.04,0.634280561
0.05,0.543596798
0.0666667,0.707451576
0.0833333,1
0.1,0.756975507
0.1166667,0.990119034
0.1333333,0.864597995
0.15,0.9135148
0.1666667,0.725167003
0.2,0.588089222
0.2333333,0.366630421
0.2666667,0.231267624
0.3,0.141325818
0.3333333,0.102016952
0.3666667,0.052362336
0.4333333,0.067686077
0.5,0.040685517
0.5666667,0.028851152
0.6333333,0.009502228
0.7,0.008263877
0.7666667,0.001379638
0.8166667,0.005374744
0.01,0.340587608
0.0166667,0.450022526
0.0233333,0.478725673
0.03,0.363397597
0.04,0.596095231
0.05,0.594025989
0.0666667,0.854398515
0.0833333,0.773427364
0.1,1
0.1166667,0.891183973
0.1333333,0.943339175
0.15,0.9204891
0.1666667,0.685218035
0.2,0.646247613
0.2333333,0.322457584
0.2666667,0.383753996
0.3,0.249646338
0.3333333,0.162710103
0.3666667,0.101754051
0.4333333,0.073557996
0.5,0.039250303
0.5666667,0.023299968
0.6333333,0.029384028
0.7,0.010221971
0.7666667,0.005616327
0.8166667,0.002055082
0.01,0.307848469
0.0166667,0.380314278
0.0233333,0.451947637
0.03,0.554952488
0.04,0.51566635
0.05,0.751642898
0.0666667,0.718796962
0.0833333,0.930353153
0.1,0.939058868
0.1166667,0.965149517
0.1333333,1
0.15,0.924032399
0.1666667,0.861648978
0.2,0.976592951
0.2333333,0.598023783
0.2666667,0.470876613
0.3,0.456634583
