z/h (z-axis),tke_tke_uwmax (x-axis)
0.01,0.33068881
0.0166667,0.347735468
0.0233333,0.307743245
0.03,0.349374799
0.04,0.337856994
0.05,0.374623658
0.0666667,0.50877462
0.0833333,0.607911064
0.1,0.651188425
0.1166667,0.73548113
0.1333333,0.91119707
0.15,0.984408083
0.1666667,1
0.2,0.943684584
0.2333333,0.548878552
0.2666667,0.382085474
0.3,0.248977855
0.3333333,0.180412316
0.3666667,0.150612533
0.4333333,0.113069125
0.5,0.085497924
0.5666667,0.075363025
0.6333333,0.071954498
0.7,0.045986699
0.7666667,0.03979892
0.8166667,0.035632818
0.01,0.47251886
0.0166667,0.545565018
0.0233333,0.567990012
0.03,0.552030779
0.04,0.696498915
0.05,0.628241343
0.0666667,0.782881857
0.0833333,0.773505301
0.1,0.896621448
0.1166667,0.856487186
0.1333333,0.946172065
0.15,0.996346105
0.1666667,1
0.2,0.916635267
0.2333333,0.636291215
0.2666667,0.494752376
0.3,0.272048708
0.3333333,0.226079557
0.3666667,0.160656772
0.4333333,0.121152847
0.5,0.091674065
0.5666667,0.069952574
0.6333333,0.081574567
0.7,0.048803812
0.7666667,0.035228749
0.8166667,0.031339448
0.01,0.606964691
0.0166667,0.667914038
0.0233333,0.702227088
0.03,0.768907187
0.04,0.830740034
0.05,0.877275029
0.0666667,0.893852215
0.0833333,0.965815173
0.1,0.989944266
0.1166667,1
0.1333333,0.971979308
0.15,0.971494015
0.1666667,0.954115907
0.2,0.89193733
0.2333333,0.580731331
0.2666667,0.424242165
0.3,0.280723992
0.3333333,0.206942611
0.3666667,0.15957513
0.4333333,0.104472421
0.5,0.078527312
0.5666667,0.056959895
0.6333333,0.065784242
0.7,0.036919107
0.7666667,0.030776827
0.8166667,0.028751844
0.01,0.660595993
0.0166667,0.622242159
0.0233333,0.726169623
0.03,0.75746739
0.04,0.818992389
0.05,0.842129995
0.0666667,0.907960362
0.0833333,0.983081732
0.1,0.964854698
0.1166667,1
0.1333333,0.966979897
0.15,0.929793336
0.1666667,0.858855204
0.2,0.784255589
0.2333333,0.57282199
0.2666667,0.38053814
0.3,0.255674449
0.3333333,0.190069996
0.3666667,0.146126129
0.4333333,0.122155569
0.5,0.088873219
0.5666667,0.069436583
0.6333333,0.067259702
0.7,0.044875839
0.7666667,0.034675954
0.8166667,0.029966229
0.01,0.75656103
0.0166667,0.799438721
0.0233333,0.802202862
0.03,0.778141546
0.04,0.788211898
0.05,0.883344209
0.0666667,1
0.0833333,0.965026041
0.1,0.980905431
0.1166667,0.964334481
0.1333333,0.942989457
0.15,0.919848314
0.1666667,0.88009196
0.2,0.836027705
0.2333333,0.557269528
0.2666667,0.450713233
0.3,0.314565235
0.3333333,0.243025305
0.3666667,0.173780847
0.4333333,0.124575567
0.5,0.096698644
0.5666667,0.077223848
0.6333333,0.063794
0.7,0.068210952
0.7666667,0.042024826
0.8166667,0.037085952
0.01,0.741935648
0.0166667,0.731899008
0.0233333,0.78699283
0.03,0.838805129
0.04,0.803453555
0.05,0.818970694
0.0666667,0.865889259
0.0833333,0.87198445
0.1,0.954204796
0.1166667,0.872014435
0.1333333,0.883733004
0.15,1
0.1666667,0.911649734
0.2,0.811258387
0.2333333,0.659170299
0.2666667,0.547933666
0.3,0.488057567
0.3333333,0.350167743
0.3666667,0.206592649
0.4333333,0.154943226
0.5,0.114980858
0.5666667,0.094001308
0.6333333,0.086308679
0.7,0.069830319
0.7666667,0.050413166
0.8166667,0.045917429
0.01,0.744876579
0.0166667,0.756708979
0.0233333,0.746949008
0.03,0.810418329
0.04,0.833147032
0.05,0.777929106
0.0666667,0.895892168
0.0833333,0.905482023
0.1,0.884103079
0.1166667,0.889842687
0.1333333,0.945077412
0.15,1
0.1666667,0.943787974
0.2,0.866412439
0.2333333,0.77599898
0.2666667,0.6088198
0.3,0.492382631
0.3333333,0.416903923
0.3666667,0.283578809
0.4333333,0.163733691
0.5,0.119218798
0.5666667,0.081645866
0.6333333,0.085086525
0.7,0.056459652
0.7666667,0.044443321
0.8166667,0.040726955
0.01,0.315066279
0.0166667,0.278068552
0.0233333,0.315260132
0.03,0.324862123
0.04,0.322339643
0.05,0.347640026
0.0666667,0.380063227
0.0833333,0.433031704
0.1,0.46152629
0.1166667,0.666689929
0.1333333,0.767914864
0.15,0.895641143
0.1666667,1
0.2,0.84409502
0.2333333,0.39625641
0.2666667,0.232035658
0.3,0.189266437
0.3333333,0.143984229
0.3666667,0.135235357
0.4333333,0.095045096
0.5,0.084244621
0.5666667,0.100853056
0.6333333,0.075387519
0.7,0.044533342
0.7666667,0.035531434
0.8166667,0.032885479
0.01,0.470984796
0.0166667,0.504804937
0.0233333,0.580140456
0.03,0.577663274
0.04,0.614748808
0.05,0.654369384
0.0666667,0.686823243
0.0833333,0.716391479
0.1,0.825684168
0.1166667,0.796991247
0.1333333,0.840565292
0.15,1
0.1666667,0.92855341
0.2,0.816525881
0.2333333,0.515655574
0.2666667,0.343280898
0.3,0.217743027
0.3333333,0.183208022
0.3666667,0.197383705
0.4333333,0.145513459
0.5,0.084933001
0.5666667,0.066573214
0.6333333,0.092388142
0.7,0.051089597
0.7666667,0.036499195
0.8166667,0.030791724
0.01,0.710381304
0.0166667,0.781357399
0.0233333,0.794987282
0.03,0.738120279
0.04,0.84047414
0.05,0.773091897
0.0666667,0.834187636
0.0833333,0.824033514
0.1,0.834418038
0.1166667,0.961710004
0.1333333,0.83835254
0.15,1
0.1666667,0.913485807
0.2,0.755534617
0.2333333,0.524161407
0.2666667,0.344452514
0.3,0.217989433
0.3333333,0.263527013
0.3666667,0.226227725
0.4333333,0.128787115
0.5,0.083824734
0.5666667,0.062678582
0.6333333,0.067256825
0.7,0.040481841
0.7666667,0.032113503
0.8166667,0.030650655
0.01,0.60781602
0.0166667,0.649257472
0.0233333,0.653720809
0.03,0.719816883
0.04,0.739843226
0.05,0.800778281
0.0666667,1
0.0833333,0.824351224
0.1,0.795483677
0.1166667,0.666746573
0.1333333,0.81657769
0.15,0.720057639
