z/z2 (z-axis),tke_defect (x-axis)
0.044562618,0.214534903
0.07427103,0.235666417
0.103979442,0.182827165
0.133687854,0.231410141
0.178250472,0.219650353
0.22281309,0.257335264
0.297084119,0.411355311
0.371355149,0.535920708
0.445626179,0.589543112
0.519897209,0.683354489
0.594168239,0.902316432
0.668439269,0.982377034
0.742710298,1
0.891252358,0.948187957
1.039794418,0.495232632
1.188336477,0.3112018
1.336878537,0.169581708
1.485420597,0.101827866
1.633962657,0.066426627
1.931046776,0.027746044
2.228130895,0.015400517
2.525215015,0.016463778
2.822299134,0.026813315
3.119383253,-0.008940301
3.416467373,-0.015023571
3.639280462,-0.015028901
0.043007053,0.375187105
0.071678422,0.460955678
0.100349791,0.479740987
0.129021159,0.462119432
0.172028213,0.630124846
0.215035266,0.54679335
0.286713688,0.724906964
0.35839211,0.725027003
0.430070532,0.870911969
0.501748953,0.821553282
0.573427375,0.942410082
0.645105797,0.996086356
0.716784219,1
0.860141063,0.917122827
1.003497907,0.594678953
1.146854751,0.439336995
1.290211595,0.194253513
1.433568439,0.152561208
1.576925282,0.075969845
1.86363897,0.035002346
2.150352658,0.020825975
2.437066346,0.008806261
2.723780033,0.036810383
3.010493721,-0.007019789
3.297207409,-0.021614251
3.512242674,-0.021200113
0.042390245,0.543340646
0.070650408,0.615067886
0.098910571,0.648107569
0.127170734,0.725690799
0.169560978,0.79836665
0.211951223,0.847705904
0.282601631,0.866718024
0.353252038,0.95976774
0.423902446,0.991273904
0.494552854,1
0.565203261,0.983851221
0.635853669,0.979461544
0.706504077,0.959152846
0.847804892,0.899657916
0.989105707,0.541486519
1.130406522,0.368262569
1.271707338,0.213500107
1.413008153,0.138862897
1.554308968,0.083154704
1.836910599,0.023840623
2.11951223,0.012209007
2.40211386,-0.000639
2.684715491,0.023023337
2.967317121,-0.015850855
3.249918752,-0.02196192
3.461869975,-0.019775493
0.047293995,0.606110461
0.078823325,0.563432185
0.110352656,0.67656672
0.141881986,0.713266561
0.189175981,0.785404086
