z* (z-axis),Avg_u-umin/umax_umin (x-axis)
0.052916457,-0.158627317
0.088194096,-0.180530648
0.123471734,-0.177504451
0.158749372,-0.144631354
0.21166583,-0.139269665
0.264582287,-0.093989158
0.352776383,-0.087207248
0.440970479,0
0.529164575,0.027062888
0.617358671,0.072899979
0.705552767,0.158619124
0.793746862,0.258625429
0.881940958,0.345116257
1.05832915,0.576523042
1.234717342,0.758994036
1.411105533,0.808825999
1.587493725,0.843239828
1.763881917,0.870061411
1.940270108,0.884475567
2.293046492,0.909490449
2.645822875,0.931518786
2.998599258,0.975925662
3.351375641,0.992527552
3.704152025,0.984640702
4.056928408,1
4.321510696,0.999887766
0.054122018,-0.210505375
0.090203364,-0.175155972
0.12628471,-0.151716526
0.162366055,-0.177718015
0.216488074,-0.089771268
0.270610092,-0.059130595
0.360813456,0
0.451016821,0.042983296
0.541220185,0.095242463
0.631423549,0.176784603
0.721626913,0.247054203
0.811830277,0.298147416
0.902033641,0.40279477
1.082440369,0.581799867
1.262847098,0.726032448
1.443253826,0.817379707
1.623660554,0.847690383
1.804067282,0.860237918
1.984474011,0.889310119
2.345287467,0.909908738
2.706100924,0.932136489
3.06691438,0.951229052
3.427727836,0.949259755
3.788541293,0.982321416
4.149354749,0.996781062
4.419964842,1
0.052200005,-0.19389861
0.087000008,-0.20199299
0.121800011,-0.190819562
0.156600014,-0.129095593
0.208800019,-0.105666734
0.261000024,-0.09726711
0.348000032,0
0.435000039,0.026037263
0.522000047,0.118153716
0.609000055,0.169380412
0.696000063,0.231940211
0.783000071,0.339120319
0.870000079,0.384031503
1.044000095,0.539250984
1.218000111,0.686883373
1.392000126,0.772439408
1.566000142,0.817714326
1.740000158,0.862723644
1.914000174,0.878781194
2.262000205,0.91143788
2.610000237,0.933020512
2.958000268,0.965831609
3.3060003,0.943860623
3.654000332,0.985492494
4.002000363,0.99489413
4.263000387,1
0.056268425,-0.041225588
0.093780709,-0.040356854
0.131292992,-0.021695755
0.168805276,-0.008784678
0.225073701,0
0.281342127,0.066827252
0.375122836,0.099435065
0.468903544,0.144154161
0.562684253,0.196890218
0.656464962,0.263186661
0.750245671,0.330709977
0.84402638,0.390559516
0.937807089,0.468790377
1.125368507,0.562912376
1.312929925,0.646493866
1.500491342,0.710986938
1.68805276,0.778410107
1.875614178,0.81496342
2.063175596,0.847783206
2.438298431,0.872887086
2.813421267,0.918518997
3.188544102,0.938133447
3.563666938,0.99056887
3.938789774,0.980528242
4.313912609,0.992382302
4.595254736,1
0.048472224,0
0.080787039,0.025061835
0.113101855,0.034416365
0.145416671,0.017766894
0.193888895,0.076106509
0.242361118,0.085366484
0.323148158,0.125811751
0.403935197,0.175907047
0.484722237,0.218022969
0.565509276,0.257510184
0.646296315,0.315273433
0.727083355,0.34299566
0.807870394,0.42179398
0.969444473,0.477590018
1.131018552,0.596091401
1.292592631,0.646135608
1.45416671,0.714579371
1.615740789,0.739754465
