z* (z-axis),rms_u-rms_umin/rms_umax_rms_umin (x-axis)
0.0372554,0.536826056
0.0620924,0.505980645
0.0869293,0.473424161
0.1117662,0.50263082
0.1490217,0.517208261
0.1862771,0.523742178
0.2483694,0.635077086
0.3104618,0.664241114
0.3725541,0.710811072
0.4346465,0.743369156
0.4967388,0.873623627
0.5588312,0.892056567
0.6209236,1
0.7451083,0.923379396
0.869293,0.624079147
0.9934777,0.509436117
1.1176624,0.329772528
1.2418471,0.249937225
1.3660318,0.215788675
1.6144012,0.16684707
1.8627707,0.114624945
2.1111401,0.112160095
2.3595095,0.058447276
2.6078789,0.025940423
2.8562484,0.014717838
3.0425254,0
0.0350677,0.660964678
0.0584461,0.735846324
0.0818246,0.734145051
0.105203,0.723097423
0.1402707,0.836830298
0.1753384,0.72644288
0.2337845,0.900309225
0.2922306,0.876379697
0.3506768,0.930504961
0.4091229,0.874860415
0.467569,0.945788829
0.5260151,0.994620857
0.5844613,1
0.7013535,0.944939146
0.8182458,0.750929091
0.935138,0.609198866
1.0520303,0.412404091
1.1689225,0.339809374
1.2858148,0.281404556
1.5195993,0.226681111
1.7533838,0.16734917
1.9871683,0.124272234
2.2209528,0.114291936
2.4547373,0.062829921
2.6885218,0.014843623
2.8638601,0
0.0353074,0.69857342
0.0588456,0.747670588
0.0823839,0.732776049
0.1059221,0.813016685
0.1412295,0.865652113
0.1765369,0.855766172
0.2353825,0.875529233
0.2942281,0.977508405
0.3530737,0.99475723
0.4119193,1
0.4707649,0.93475176
0.5296106,0.933098616
0.5884562,0.928006693
0.7061474,0.905978466
0.8238386,0.686951172
0.9415299,0.569019526
1.0592211,0.430094013
1.1769123,0.317051074
1.2946036,0.265241276
1.529986,0.187265249
1.7653685,0.138426206
2.000751,0.090494198
2.2361334,0.06521401
2.4715159,0.013350709
2.7068984,0.005510078
2.8834352,0
0.0361713,0.740777828
0.0602855,0.662357954
0.0843997,0.760405065
0.1085139,0.81282147
0.1446852,0.853387321
0.1808565,0.850192328
0.2411419,0.905490914
0.3014274,1
0.3617129,0.953156273
0.4219984,0.988895586
0.4822839,0.998067399
0.5425694,0.994402889
0.6028548,0.919221919
0.7234258,0.864192981
0.8439968,0.709515612
0.9645677,0.542320347
1.0851387,0.398310181
1.2057097,0.314004026
1.3262806,0.258135028
1.5674226,0.233704122
1.8085645,0.170758445
2.0497065,0.126842742
2.2908484,0.094433917
2.5319903,0.043204833
2.7731323,0.012998834
2.9539887,0
0.0338151,0.751940964
0.0563584,0.811255816
0.0789018,0.797145823
0.1014452,0.7859178
0.1352602,0.805087975
0.1690753,0.885196717
0.2254337,0.932455882
0.2817921,0.930619829
0.3381506,0.992593585
0.394509,0.96821057
0.4508674,1
0.5072258,0.962166311
0.5635843,0.917185594
0.6763011,0.908743267
0.789018,0.697142217
0.9017348,0.595698893
1.0144517,0.485925738
1.1271685,0.396585077
1.2398854,0.299844698
1.4653191,0.211560441
1.6907528,0.159194303
1.9161865,0.117177785
2.1416202,0.122873622
2.3670539,0.047051538
2.5924876,0.017883501
2.7615629,0
0.0293755,0.748714351
0.0489592,0.708258236
0.0685429,0.708941445
0.0881266,0.768109303
0.1175021,0.736462283
0.1468777,0.834717421
0.1958369,0.772864375
0.2447961,0.811494526
0.2937553,0.880516911
0.3427146,0.852465399
0.3916738,0.841811184
0.440633,0.878085828
0.4895922,0.836212571
0.5875107,0.848210814
0.6854291,0.737408283
0.7833476,0.656994344
0.881266,0.617123568
0.9791845,0.491891234
1.0771029,0.28910066
1.2729398,0.246787757
1.4687767,0.178989684
1.6646136,0.144557678
1.8604505,0.18530751
2.0562874,0.082447687
2.2521243,0.032276916
2.3990019,0.017046958
0.0288087,0.73431154
0.0480145,0.758482484
0.0672203,0.768483003
0.0864261,0.785691441
0.1152348,0.803187307
0.1440435,0.731274115
0.1920581,0.867160703
0.2400726,0.88091189
0.2880871,0.889608737
0.3361016,0.845667726
0.3841161,0.923035961
0.4321306,1
0.4801452,0.970218363
0.5761742,0.942216923
0.6722032,0.860859601
0.7682322,0.721253023
0.8642613,0.625742487
0.9602903,0.568796069
1.0563193,0.402428127
1.2483774,0.261554855
1.4404355,0.185588365
1.6324935,0.099103168
1.8245516,0.078848503
2.0166096,0.03411265
2.2086677,0.011516341
2.3527113,0
0.0430355,0.539329213
0.0717259,0.472657279
0.1004163,0.516577585
0.1291066,0.514409364
0.1721422,0.494720551
0.2151777,0.529390382
0.2869036,0.546146027
0.3586295,0.594951161
0.4303554,0.605031833
0.5020813,0.751605098
0.5738072,0.828295383
0.6455331,0.923693711
0.717259,1
0.8607108,0.919938157
1.0041626,0.487450252
1.1476144,0.328085909
1.2910662,0.295170636
1.434518,0.228946317
1.5779698,0.222247474
1.8648734,0.146598813
2.151777,0.137210794
2.4386807,0.15239871
2.7255843,0.071389384
3.0124879,0.044329017
3.2993915,0.014352523
3.5145692,0
0.0372759,0.665465203
0.0621265,0.675718003
0.0869771,0.728640033
0.1118277,0.761427282
0.1491037,0.793897633
0.1863796,0.827699234
0.2485061,0.870077867
0.3106326,0.818902169
0.3727591,0.958757337
0.4348857,0.900937034
0.4970122,0.907744419
0.5591387,1
0.6212652,0.931885218
0.7455183,0.90494211
0.8697713,0.663055083
0.9940244,0.507430166
1.1182774,0.352932879
1.2425304,0.309337714
1.3667835,0.239840152
1.6152896,0.189749962
1.8637957,0.141438094
2.1123018,0.104028417
2.3608078,0.124671778
2.6093139,0.064996629
2.85782,0.022637595
3.0441996,0
0.0384289,0.848907278
0.0640482,0.865465638
0.0896675,0.830940918
0.1152868,0.842205919
0.1537157,0.901775777
0.1921446,0.838679515
0.2561928,0.820923849
0.3202411,0.90188148
0.3842893,0.908736659
0.4483375,1
0.5123857,0.870952326
0.5764339,0.962098408
0.6404821,0.936832294
0.7685785,0.838319562
0.896675,0.669439007
1.0247714,0.493349755
1.1528678,0.338718418
1.2809642,0.294031795
1.4090607,0.239192605
1.6652535,0.174531144
1.9214463,0.123490231
2.1776392,0.094761334
2.433832,0.065872099
2.6900249,0.029166187
2.9462177,0.000705821
3.1383624,0
0.0371251,0.78844306
0.0618751,0.804352569
0.0866252,0.820342611
0.1113752,0.87672209
0.1485003,0.919870448
0.1856254,0.915212619
0.2475005,0.90261676
0.3093757,0.991658222
0.3712508,0.966235759
0.4331259,0.881814708
0.495001,1
0.5568762,0.891293098
0.6187513,0.879311793
0.7425016,0.730173808
0.8662518,0.672213475
