z* (z-axis),rms_w-rms_emin/rms_wmax_rms_wmin (x-axis)
0.037524145,0.292301359
0.062540241,0.3489473
0.087556338,0.322415133
0.112572434,0.434747488
0.150096579,0.333331126
0.187620723,0.455708552
0.250160965,0.557460318
0.312701206,0.707227446
0.375241447,0.753346791
0.437781688,0.835288606
0.500321929,0.939537506
0.56286217,0.919501167
0.625402411,1
0.750482894,0.862733838
0.875563376,0.60659615
1.000643858,0.499448452
1.12572434,0.382775434
1.250804823,0.322201248
1.375885305,0.261203317
1.62604627,0.216400723
1.876207234,0.159171155
2.376529163,0.085520087
2.626690128,0.029072756
2.876851092,0.016301306
3.064471816,0
0.034712661,0.457528086
0.057854435,0.523071635
0.080996209,0.572508064
0.104137983,0.568980665
0.138850644,0.681980583
0.173563305,0.64507354
0.23141774,0.757551685
0.289272175,0.713382512
0.34712661,0.804525303
0.404981045,0.85900482
0.462835479,0.921541041
0.520689914,0.99098537
0.578544349,1
0.694253219,0.8184232
0.809962089,0.709903697
0.925670959,0.657248949
1.041379829,0.412457709
1.157088699,0.325397084
1.272797568,0.258383354
1.504215308,0.212793209
1.735633048,0.163297083
1.967050788,0.112273601
2.198468527,0.089387457
2.429886267,0.049703544
2.661304007,0.011205419
2.834867312,0
0.034938302,0.590866069
0.058230504,0.591104183
0.081522705,0.692575114
0.104814907,0.77056028
0.139753209,0.768036123
0.174691511,0.798549924
0.232922015,0.872508273
0.291152519,0.921788708
0.349383022,0.944355714
0.407613526,0.980212311
0.46584403,0.971563877
0.524074534,1
0.582305037,0.985954318
0.698766045,0.834279785
0.815227052,0.663450753
0.93168806,0.56316667
1.048149067,0.455477531
1.164610075,0.337777702
1.281071082,0.282899216
1.513993097,0.208537688
1.746915112,0.149187553
1.979837127,0.099723817
2.212759142,0.065647935
2.445681157,0.024114274
2.678603172,0.01504271
2.853294683,0
0.036764146,0.708967576
0.061273576,0.678526885
0.085783007,0.811929825
0.110292437,0.74731974
0.147056583,0.825608525
0.183820729,0.866207074
0.245094305,0.934444336
0.306367881,0.990190162
0.367641457,0.974433399
0.428915033,1
0.490188609,0.927310267
0.551462186,0.92169024
0.612735762,0.879816189
0.735282914,0.796457768
0.857830066,0.679589686
0.980377219,0.517749053
1.102924371,0.406903608
1.225471524,0.339593874
1.348018676,0.276683413
1.593112981,0.22772089
1.838207285,0.158713323
2.08330159,0.118383236
2.328395895,0.083993548
2.573490199,0.034564992
2.818584504,0.012699446
3.002405233,0
0.034565331,0.706499089
0.057608885,0.794270704
0.08065244,0.839864303
0.103695994,0.773478556
0.138261325,0.857753092
0.172826656,0.886547536
0.230435542,0.94836571
0.288044427,0.933213271
0.345653313,1
0.403262198,0.960448254
0.460871084,0.935477588
0.518479969,0.943293311
0.576088855,0.838853145
0.691306626,0.848047311
0.806524397,0.646432247
0.921742168,0.606395647
1.036959939,0.449751016
1.15217771,0.359484584
1.26739548,0.296708324
1.497831022,0.226713263
1.728266564,0.172909573
1.958702106,0.128977431
2.189137648,0.096367748
2.41957319,0.039076532
2.650008732,0.022693134
2.822835388,0
0.029471123,0.636845306
0.049118538,0.71780896
0.068765953,0.821971459
0.088413368,0.86217255
0.117884491,0.835921993
0.147355614,0.95662403
0.196474151,0.968547075
0.245592689,0.95731445
0.294711227,0.978815844
0.343829765,0.95028199
0.392948303,0.956319928
0.442066841,1
0.491185378,0.941625328
0.589422454,0.876593526
0.68765953,0.741523607
0.785896605,0.63578876
0.884133681,0.62185778
0.982370757,0.521972762
1.080607832,0.338877351
1.277081984,0.268137069
1.473556135,0.183352844
1.670030287,0.137658091
1.866504438,0.095727517
2.062978589,0.067802466
2.259452741,0.021905212
2.406808354,0
0.028625333,0.654253847
0.047708889,0.658222041
0.066792444,0.690331344
0.085876,0.789611059
0.114501333,0.828093445
0.143126667,0.811691513
0.190835556,0.885554042
0.238544445,0.941380406
0.286253333,0.94458863
0.333962222,0.931701703
0.381671111,0.993505968
0.42938,0.942673127
0.477088889,1
0.572506667,0.89134294
0.667924445,0.835260057
0.763342223,0.678554026
0.85876,0.640528431
0.954177778,0.558799449
1.049595556,0.436358578
1.240431112,0.298402552
1.431266667,0.217639094
1.622102223,0.152169354
1.812937779,0.093981642
2.003773334,0.050930069
2.19460889,0.020609609
2.337735557,0
0.038815125,0.28441494
0.064691876,0.288861211
0.090568626,0.380197601
0.116445376,0.421733654
0.155260502,0.381872199
0.194075627,0.447301721
0.258767503,0.538471858
0.323459379,0.630780342
0.388151254,0.610294907
0.45284313,0.801444441
0.517535006,0.887030697
0.582226881,1
0.646918757,0.981116609
0.776302508,0.850386083
0.90568626,0.600778686
1.035070011,0.462526036
1.164453763,0.382743403
1.293837514,0.305943859
1.423221265,0.311168498
1.681988768,0.230949887
1.940756271,0.207416213
2.458291277,0.106099419
2.71705878,0.05258408
2.975826282,0.017468867
3.169901909,0
0.037744906,0.497230849
0.062908177,0.605124015
0.088071448,0.545421359
0.113234719,0.663552507
0.150979626,0.705948311
0.188724532,0.737137169
0.251632709,0.719825869
0.314540887,0.785833893
0.377449064,0.875855792
0.440357241,0.878548096
0.503265419,0.915769998
0.566173596,1
0.629081773,0.930586009
0.754898128,0.844550332
0.880714482,0.619313412
1.006530837,0.48964103
1.132347192,0.38561375
1.258163546,0.31380503
1.383979901,0.279344609
1.63561261,0.213594051
1.88724532,0.173421892
2.138878029,0.133052283
2.390510738,0.103458161
2.642143447,0.066038256
2.893776157,0.025585146
3.082500689,0
0.037071695,0.564433452
0.061786159,0.614514439
0.086500622,0.698753167
0.111215085,0.703537725
