z* (z-axis),rss_uw-rss_uwmin/rss_uwmax_rss_uwmin (x-axis)
0.0443412,0.017521352
0.0739021,0.013939246
0.1034629,0.009112931
0.1330237,0.044386602
0.1773649,0.101464056
0.2217062,0.079778125
0.2956082,0.155649272
0.3695103,0.287937748
0.4434123,0.482751364
0.5173144,0.46081515
0.5912164,0.784656279
0.6651185,0.813512431
0.7390205,1
0.8868246,0.917451389
1.0346288,0.372270569
1.1824329,0.185124999
1.330237,0.145785643
1.4780411,0.119063766
1.6258452,0.103270955
1.9214534,0.108416357
2.2170616,0.065039919
2.5126698,0.041826229
2.8082781,0.048958673
3.1038863,0.011371337
3.3994945,0.004587265
3.6212007,0
0.0424103,0.2113866
0.0706838,0.242103105
0.0989573,0.277992382
0.1272308,0.253539438
0.169641,0.408049602
0.2120513,0.338112411
0.2827351,0.447966685
0.3534188,0.450298332
0.4241026,0.605519047
0.4947863,0.476137778
0.5654701,0.628763434
0.6361539,0.912230087
0.7068376,1
0.8482052,0.723537507
0.9895727,0.511112092
1.1309402,0.360460894
1.2723077,0.12552507
1.4136753,0.114291198
1.5550428,0.083379409
1.8377778,0.0833985
2.1205129,0.063493288
2.4032479,0.03774004
2.685983,0.041326164
2.968718,0.018476705
3.2514531,0.004105598
3.4635044,0
0.0448649,0.28118189
0.0747749,0.303901695
0.1046848,0.31781183
0.1345947,0.413397246
0.1794597,0.549877229
0.2243246,0.54113464
0.2990994,0.645210605
0.3738743,0.824731445
0.4486492,0.797596215
0.523424,1
0.5981989,0.884541025
0.6729737,0.897640487
0.7477486,0.913004928
0.8972983,0.738115843
1.0468481,0.391381876
1.1963978,0.309624745
1.3459475,0.148823588
1.4954972,0.091880079
1.6450469,0.079891386
1.9441464,0.051687648
2.2432458,0.042303002
2.5423453,0.027815533
2.8414447,0.021509772
3.1405442,0.001852615
3.4396436,0.001434176
3.6639682,0
0.0469142,0.389026776
0.0781903,0.318605873
0.1094665,0.434415905
0.1407426,0.451118885
0.1876568,0.633775304
0.234571,0.542966257
0.3127613,0.707047408
0.3909516,1
0.4691419,0.756639758
0.5473323,0.990105383
0.6255226,0.864410932
0.7037129,0.913395317
0.7819032,0.724787309
0.9382839,0.587520149
1.0946645,0.365755393
1.2510452,0.230205586
1.4074258,0.140139522
1.5638065,0.100776349
1.7201871,0.051053133
2.0329484,0.066398045
2.3457097,0.039360182
2.658471,0.027509467
2.9712323,0.008133812
3.2839936,0.00689375
3.5967549,0
3.8313259,0.004000626
0.0465224,0.339229671
0.0775374,0.44888995
0.1085524,0.477652205
0.1395673,0.362086633
0.1860898,0.595263464
0.2326122,0.593189961
0.3101496,0.854098675
0.387687,0.772960779
0.4652244,1
0.5427618,0.890959887
0.6202992,0.943222492
0.6978366,0.920325362
0.775374,0.6845698
0.9304488,0.645519126
1.0855236,0.321062311
1.2405984,0.382484952
1.3956732,0.248101125
1.5507481,0.16098586
1.7058229,0.09990428
2.0159725,0.071650161
2.3261221,0.037271818
2.6362717,0.021288636
2.9464213,0.027385225
3.2565709,0.008183707
3.5667205,0.003568579
3.7993327,0
0.0386247,0.307163327
0.0643744,0.268057331
0.0901242,0.318934628
0.115874,0.392093398
0.1544986,0.364190581
0.1931233,0.751397056
0.2574977,0.508463258
0.3218722,0.65872017
0.3862466,0.664903367
0.450621,0.683434143
0.5149955,0.708186555
0.5793699,0.65423088
0.6437443,0.609923313
0.7724932,0.691561795
0.9012421,0.422684607
1.0299909,0.332378855
1.1587398,0.322263512
1.2874887,0.24795693
1.4162375,0.096214815
1.6737353,0.084230467
1.931233,0.030523903
2.1887307,0.02991613
2.4462285,0.016545049
2.7037262,0.000598186
2.9612239,-0.003230799
3.1543472,-0.001356957
0.0376129,0.291230611
0.0626881,0.307714091
0.0877634,0.390748076
0.1128386,0.316907449
0.1504515,0.555700157
0.1880643,0.373697736
0.2507524,0.542473578
