z* (z-axis),tke-tkemin/tkemax_tkemin (x-axis)
0.0417465,0.305958143
0.0695775,0.323634665
0.0974085,0.282164753
0.1252395,0.325334569
0.166986,0.313391188
0.2087325,0.351516358
0.27831,0.490624123
0.3478875,0.593423601
0.417465,0.638300036
0.4870425,0.725707309
0.55662,0.907915853
0.6261975,0.98383197
0.695775,1
0.83493,0.941603761
0.9740849,0.532209871
1.1132399,0.359253884
1.2523949,0.221228014
1.3915499,0.150129018
1.5307049,0.11922815
1.8090149,0.080297535
2.0873249,0.051707593
2.6439448,0.037663746
2.9222548,0.010736451
3.2005648,0.004320037
3.4092973,0
0.0445657,0.291775993
0.0742762,0.253520206
0.1039867,0.291976438
0.1336972,0.301904932
0.1782629,0.299296678
0.2228286,0.325457368
0.2971049,0.358983078
0.3713811,0.41375268
0.4456573,0.483216187
0.5199335,0.655356151
0.5942097,0.760023109
0.6684859,0.892092555
0.7427621,1
0.8913146,0.838793673
1.039867,0.375726889
1.1884194,0.205922023
1.3369718,0.16169849
1.4855243,0.114876519
1.6340767,0.105830153
1.9311815,0.064273275
2.5253912,0.070278726
2.8224961,0.043947267
3.1196009,0.012043933
3.4167058,0.002735927
3.6395344,0
0.0271194,0.213171165
0.0451989,0.290338695
0.0632785,0.241730962
0.0813581,0.210871432
0.1084775,0.267067307
0.1355968,0.292207849
0.1807958,0.319325065
0.2259947,0.274478234
0.2711937,0.307842858
0.3163926,0.336984185
0.3615916,0.343003254
0.4067905,0.454541051
0.4519895,0.572699999
0.5423874,0.573944733
0.6327853,0.699504197
0.7231832,0.887127264
0.8135811,1
0.903979,0.816598149
0.9943769,0.509011665
1.1751727,0.219267378
1.3559685,0.103305009
1.5367642,0.058588758
1.71756,0.047024331
1.8983558,0.057573449
2.0791516,0.002334129
2.2147485,0
0.0277277,0.243975701
0.0462128,0.238814579
0.064698,0.221629691
0.0831831,0.236420541
0.1109108,0.261010381
0.1386385,0.269503119
0.1848514,0.300979884
0.2310642,0.268148341
0.2772771,0.306218609
0.3234899,0.33549089
0.3697027,0.320208167
0.4159156,0.339972086
0.4621284,0.47849711
0.5545541,0.456863806
0.6469798,0.650221481
0.7394055,0.588312741
0.8318312,1
0.9242569,0.768397889
1.0166826,0.440884882
1.2015339,0.147351549
1.3863853,0.066855947
1.5712367,0.030706899
1.7560881,0.026017799
1.9409394,0.012380111
2.2644293,0
0.0382058,0.45545306
0.0636763,0.530862507
0.0891468,0.554013026
0.1146173,0.537537458
