Test no.,mean diameter d (mm),Particle density p (g/mm^3),Settling velocity w (mm/s),Shear velocity u (mm/s),Concentration C (*10^-2),H,Rouse Number,d/H,B1,A1,a1,B2,A2,a2,m
A1,1.8,0.00105,25.6,32.8,0.33,40,1.951219512,0.045,0.14,0,-3.62,2.28,0,0.04,1
A2,1.3,0.00105,21.7,33.5,0.44,40,1.619402985,0.0325,0.2,0,-2.47,2.35,0,0.05,1
A3,1.4,0.0016,69,47.6,0.31,40,3.62394958,0.035,0.2,0,-1.5,5.99,0,0,1
A4,1.1,0.0016,51.5,45.2,0.24,40,2.848451327,0.0275,0.11,0,-2.2,4.35,0,0.04,1
A5,0.58,0.0016,45.1,47.9,0.097,40,2.353862213,0.0145,0.25,0,-1.48,4.06,0,0.05,1
A6,0.6,0.0016,37.9,49,0.057,40,1.933673469,0.015,0.13,0,-2.67,2.57,0,0,1
A7,2.29,0.00134,61.5,48.3,0.44,40,3.183229814,0.0573,0.42,0,-1.13,3.66,0,0.03,1
B4,1.1,0.0016,51.5,61.5,0.2,40,2.093495935,0.0275,0.11,0,-1.8,5.43,0,0.14,1
B5,0.58,0.0016,45.1,63.3,0.194,40,1.781200632,0.0145,0.25,0,-2,2.89,0,0.02,1
B6,0.6,0.0016,37.9,62.3,0.42,40,1.520866774,0.015,0.23,0,-1.56,3.95,0,0,1
